PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002SB4D,pk_group
1001A11LCP000002SB4E,主键
1001A11LCP000002SB4F,组织
1001A11LCP000002SB4G,code
1001A11LCP000002SB4H,扫描工艺进程单条码
1001A11LCP000002SB4I,生产领料单号
1001A11LCP000002SB4J,生产订单号
1001A11LCP000002SB4K,发料人
1001A11LCP000002SB4L,发料时间
1001A11LCP000002SB4M,工艺进程单号
1001A11LCP000002SB4N,备注
1001A11LCP000002SB4O,自定义项1
1001A11LCP000002SB4P,自定义项2
1001A11LCP000002SB4Q,自定义项3
1001A11LCP000002SB4R,自定义项4
1001A11LCP000002SB4S,自定义项5
1001A11LCP000002SB4T,自定义项6
1001A11LCP000002SB4U,自定义项7
1001A11LCP000002SB4V,自定义项8
1001A11LCP000002SB4W,自定义项9
1001A11LCP000002SB4X,自定义项10
1001A11LCP000002SB4Y,自定义项11
1001A11LCP000002SB4Z,自定义项12
1001A11LCP000002SB50,自定义项13
1001A11LCP000002SB51,自定义项14
1001A11LCP000002SB52,自定义项15
1001A11LCP000002SB53,自定义项16
1001A11LCP000002SB54,自定义项17
1001A11LCP000002SB55,自定义项18
1001A11LCP000002SB56,自定义项19
1001A11LCP000002SB57,自定义项20
1001A11LCP000002SB58,自定义项21
1001A11LCP000002SB59,自定义项22
1001A11LCP000002SB5A,自定义项23
1001A11LCP000002SB5B,自定义项24
1001A11LCP000002SB5C,自定义项25
1001A11LCP000002SB5D,自定义项26
1001A11LCP000002SB5E,自定义项27
1001A11LCP000002SB5F,自定义项28
1001A11LCP000002SB5G,自定义项29
1001A11LCP000002SB5H,自定义项30
1001A11LCP000002SB5I,制单时间
1001A11LCP000002SB5J,最后修改时间
1001A11LCP000002SB5K,组织多版本
1001A11LCP000002SB5L,创建人
1001A11LCP000002SB5M,创建时间
1001A11LCP000002SB5N,最后修改人
1001A11LCP000002SB5O,最后修改时间1
1001A11LCP000002SB5P,pk_group
1001A11LCP000002SB5Q,主键
1001A11LCP000002SB5R,组织
1001A11LCP000002SB5S,code
1001A11LCP000002SB5T,扫描工艺进程单条码
1001A11LCP000002SB5U,生产领料单号
1001A11LCP000002SB5V,生产订单号
1001A11LCP000002SB5W,发料人
1001A11LCP000002SB5X,发料时间
1001A11LCP000002SB5Y,工艺进程单号
1001A11LCP000002SB5Z,备注
1001A11LCP000002SB60,自定义项1
1001A11LCP000002SB61,自定义项2
1001A11LCP000002SB62,自定义项3
1001A11LCP000002SB63,自定义项4
1001A11LCP000002SB64,自定义项5
1001A11LCP000002SB65,自定义项6
1001A11LCP000002SB66,自定义项7
1001A11LCP000002SB67,自定义项8
1001A11LCP000002SB68,自定义项9
1001A11LCP000002SB69,自定义项10
1001A11LCP000002SB6A,自定义项11
1001A11LCP000002SB6B,自定义项12
1001A11LCP000002SB6C,自定义项13
1001A11LCP000002SB6D,自定义项14
1001A11LCP000002SB6E,自定义项15
1001A11LCP000002SB6F,自定义项16
1001A11LCP000002SB6G,自定义项17
1001A11LCP000002SB6H,自定义项18
1001A11LCP000002SB6I,自定义项19
1001A11LCP000002SB6J,自定义项20
1001A11LCP000002SB6K,自定义项21
1001A11LCP000002SB6L,自定义项22
1001A11LCP000002SB6M,自定义项23
1001A11LCP000002SB6N,自定义项24
1001A11LCP000002SB6O,自定义项25
1001A11LCP000002SB6P,自定义项26
1001A11LCP000002SB6Q,自定义项27
1001A11LCP000002SB6R,自定义项28
1001A11LCP000002SB6S,自定义项29
1001A11LCP000002SB6T,自定义项30
1001A11LCP000002SB6U,制单时间
1001A11LCP000002SB6V,最后修改时间
1001A11LCP000002SB6W,组织多版本
1001A11LCP000002SB6X,创建人
1001A11LCP000002SB6Y,创建时间
1001A11LCP000002SB6Z,最后修改人
1001A11LCP000002SB70,最后修改时间1
1001A11LCP000002SB71,行号
1001A11LCP000002SB72,主键
1001A11LCP000002SB73,料号
1001A11LCP000002SB74,品名
1001A11LCP000002SB75,规格
1001A11LCP000002SB76,存储地点
1001A11LCP000002SB77,货位
1001A11LCP000002SB78,应发数量
1001A11LCP000002SB79,可超额量
1001A11LCP000002SB7A,实发数量
1001A11LCP000002SB7B,批次号
1001A11LCP000002SB7C,自定义项1
1001A11LCP000002SB7D,自定义项2
1001A11LCP000002SB7E,自定义项3
1001A11LCP000002SB7F,自定义项4
1001A11LCP000002SB7G,自定义项5
1001A11LCP000002SB7H,自定义项6
1001A11LCP000002SB7I,自定义项7
1001A11LCP000002SB7J,自定义项8
1001A11LCP000002SB7K,自定义项9
1001A11LCP000002SB7L,自定义项10
1001A11LCP000002SB7M,自定义项11
1001A11LCP000002SB7N,自定义项12
1001A11LCP000002SB7O,自定义项13
1001A11LCP000002SB7P,自定义项14
1001A11LCP000002SB7Q,自定义项15
1001A11LCP000002SB7R,自定义项16
1001A11LCP000002SB7S,自定义项17
1001A11LCP000002SB7T,自定义项18
1001A11LCP000002SB7U,自定义项19
1001A11LCP000002SB7V,自定义项20
1001A11LCP000002SB7W,自定义项21
1001A11LCP000002SB7X,自定义项22
1001A11LCP000002SB7Y,自定义项23
1001A11LCP000002SB7Z,自定义项24
1001A11LCP000002SB80,自定义项25
1001A11LCP000002SB81,自定义项26
1001A11LCP000002SB82,自定义项27
1001A11LCP000002SB83,自定义项28
1001A11LCP000002SB84,自定义项29
1001A11LCP000002SB85,自定义项30
1001A11LCP000002SB86,来源行号
1001A11LCP000002SB87,行号
1001A11LCP000002SB88,主键
1001A11LCP000002SB89,料号
1001A11LCP000002SB8A,品名
1001A11LCP000002SB8B,规格
1001A11LCP000002SB8C,存储地点
1001A11LCP000002SB8D,货位
1001A11LCP000002SB8E,应发数量
1001A11LCP000002SB8F,可超额量
1001A11LCP000002SB8G,实发数量
1001A11LCP000002SB8H,批次号
1001A11LCP000002SB8I,自定义项1
1001A11LCP000002SB8J,自定义项2
1001A11LCP000002SB8K,自定义项3
1001A11LCP000002SB8L,自定义项4
1001A11LCP000002SB8M,自定义项5
1001A11LCP000002SB8N,自定义项6
1001A11LCP000002SB8O,自定义项7
1001A11LCP000002SB8P,自定义项8
1001A11LCP000002SB8Q,自定义项9
1001A11LCP000002SB8R,自定义项10
1001A11LCP000002SB8S,自定义项11
1001A11LCP000002SB8T,自定义项12
1001A11LCP000002SB8U,自定义项13
1001A11LCP000002SB8V,自定义项14
1001A11LCP000002SB8W,自定义项15
1001A11LCP000002SB8X,自定义项16
1001A11LCP000002SB8Y,自定义项17
1001A11LCP000002SB8Z,自定义项18
1001A11LCP000002SB90,自定义项19
1001A11LCP000002SB91,自定义项20
1001A11LCP000002SB92,自定义项21
1001A11LCP000002SB93,自定义项22
1001A11LCP000002SB94,自定义项23
1001A11LCP000002SB95,自定义项24
1001A11LCP000002SB96,自定义项25
1001A11LCP000002SB97,自定义项26
1001A11LCP000002SB98,自定义项27
1001A11LCP000002SB99,自定义项28
1001A11LCP000002SB9A,自定义项29
1001A11LCP000002SB9B,自定义项30
1001A11LCP000002SB9C,来源行号
1001A11LCP000002SB9D,行号
1001A11LCP000002SB9E,主键
1001A11LCP000002SB9F,料号
1001A11LCP000002SB9G,品名
1001A11LCP000002SB9H,规格
1001A11LCP000002SB9I,存储地点
1001A11LCP000002SB9J,货位
1001A11LCP000002SB9K,应发数量
1001A11LCP000002SB9L,可超额量
1001A11LCP000002SB9M,实发数量
1001A11LCP000002SB9N,批次号
1001A11LCP000002SB9O,自定义项1
1001A11LCP000002SB9P,自定义项2
1001A11LCP000002SB9Q,自定义项3
1001A11LCP000002SB9R,自定义项4
1001A11LCP000002SB9S,自定义项5
1001A11LCP000002SB9T,自定义项6
1001A11LCP000002SB9U,自定义项7
1001A11LCP000002SB9V,自定义项8
1001A11LCP000002SB9W,自定义项9
1001A11LCP000002SB9X,自定义项10
1001A11LCP000002SB9Y,自定义项11
1001A11LCP000002SB9Z,自定义项12
1001A11LCP000002SBA0,自定义项13
1001A11LCP000002SBA1,自定义项14
1001A11LCP000002SBA2,自定义项15
1001A11LCP000002SBA3,自定义项16
1001A11LCP000002SBA4,自定义项17
1001A11LCP000002SBA5,自定义项18
1001A11LCP000002SBA6,自定义项19
1001A11LCP000002SBA7,自定义项20
1001A11LCP000002SBA8,自定义项21
1001A11LCP000002SBA9,自定义项22
1001A11LCP000002SBAA,自定义项23
1001A11LCP000002SBAB,自定义项24
1001A11LCP000002SBAC,自定义项25
1001A11LCP000002SBAD,自定义项26
1001A11LCP000002SBAE,自定义项27
1001A11LCP000002SBAF,自定义项28
1001A11LCP000002SBAG,自定义项29
1001A11LCP000002SBAH,自定义项30
1001A11LCP000002SBAI,来源行号
