PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002RWFA,组织
1001A11LCP000002RWFB,code
1001A11LCP000002RWFC,pk_group
1001A11LCP000002RWFD,组织多版本
1001A11LCP000002RWFE,制单时间
1001A11LCP000002RWFF,最后修改时间
1001A11LCP000002RWFG,创建人
1001A11LCP000002RWFH,创建时间
1001A11LCP000002RWFI,最后修改人
1001A11LCP000002RWFJ,最后修改时间1
1001A11LCP000002RWFK,扫描工艺进程单条码
1001A11LCP000002RWFL,生产领料单号
1001A11LCP000002RWFM,生产订单号
1001A11LCP000002RWFN,发料人
1001A11LCP000002RWFO,发料时间
1001A11LCP000002RWFP,工艺进程单号
1001A11LCP000002RWFQ,备注
1001A11LCP000002RWFR,自定义项1
1001A11LCP000002RWFS,自定义项2
1001A11LCP000002RWFT,自定义项3
1001A11LCP000002RWFU,自定义项4
1001A11LCP000002RWFV,自定义项5
1001A11LCP000002RWFW,自定义项6
1001A11LCP000002RWFX,自定义项7
1001A11LCP000002RWFY,自定义项8
1001A11LCP000002RWFZ,自定义项9
1001A11LCP000002RWG0,自定义项10
1001A11LCP000002RWG1,自定义项11
1001A11LCP000002RWG2,自定义项12
1001A11LCP000002RWG3,自定义项13
1001A11LCP000002RWG4,自定义项14
1001A11LCP000002RWG5,自定义项15
1001A11LCP000002RWG6,自定义项16
1001A11LCP000002RWG7,自定义项17
1001A11LCP000002RWG8,自定义项18
1001A11LCP000002SB41,自定义项19
1001A11LCP000002SB42,自定义项20
1001A11LCP000002SB43,自定义项21
1001A11LCP000002SB44,自定义项22
1001A11LCP000002SB45,自定义项23
1001A11LCP000002SB46,自定义项24
1001A11LCP000002SB47,自定义项25
1001A11LCP000002SB48,自定义项26
1001A11LCP000002SB49,自定义项27
1001A11LCP000002SB4A,自定义项28
1001A11LCP000002SB4B,自定义项29
1001A11LCP000002SB4C,自定义项30
