PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002V7SU,行号
1001A11LCP000002V7SV,pk_group
1001A11LCP000002V7SW,主键
1001A11LCP000002V7SX,组织
1001A11LCP000002V7SY,完工单号
1001A11LCP000002V7SZ,name
1001A11LCP000002V7T0,工艺进程单条码
1001A11LCP000002V7T1,生产订单号
1001A11LCP000002V7T2,入库人
1001A11LCP000002V7T3,入库时间
1001A11LCP000002V7T4,工艺进程单号
1001A11LCP000002V7T5,料号
1001A11LCP000002V7T6,品名
1001A11LCP000002V7T7,规格
1001A11LCP000002V7T8,存储地点
1001A11LCP000002V7T9,货位
1001A11LCP000002V7TA,入库数量
1001A11LCP000002V7TB,批次号
1001A11LCP000002V7TC,合格证号
1001A11LCP000002V7TD,自定义项1
1001A11LCP000002V7TE,自定义项2
1001A11LCP000002V7TF,自定义项3
1001A11LCP000002V7TG,自定义项4
1001A11LCP000002V7TH,自定义项5
1001A11LCP000002V7TI,自定义项6
1001A11LCP000002V7TJ,自定义项7
1001A11LCP000002V7TK,自定义项8
1001A11LCP000002V7TL,自定义项9
1001A11LCP000002V7TM,自定义项10
1001A11LCP000002V7TN,自定义项11
1001A11LCP000002V7TO,自定义项12
1001A11LCP000002V7TP,自定义项13
1001A11LCP000002V7TQ,自定义项14
1001A11LCP000002V7TR,自定义项15
1001A11LCP000002V7TS,自定义项16
1001A11LCP000002V7TT,自定义项17
1001A11LCP000002V7TU,自定义项18
1001A11LCP000002V7TV,自定义项19
1001A11LCP000002V7TW,自定义项20
1001A11LCP000002V7TX,制单时间
1001A11LCP000002V7TY,最后修改时间
1001A11LCP000002V7TZ,来源行号
1001A11LCP000002V7U0,组织多版本
1001A11LCP000002V7U1,创建人
1001A11LCP000002V7U2,创建时间
1001A11LCP000002V7U3,最后修改人
1001A11LCP000002V7U4,最后修改时间1
1001A11LCP000002V7U5,行号
1001A11LCP000002V7U6,pk_group
1001A11LCP000002V7U7,主键
1001A11LCP000002V7U8,组织
1001A11LCP000002V7U9,完工单号
1001A11LCP000002V7UA,name
1001A11LCP000002V7UB,工艺进程单条码
1001A11LCP000002V7UC,生产订单号
1001A11LCP000002V7UD,入库人
1001A11LCP000002V7UE,入库时间
1001A11LCP000002V7UF,工艺进程单号
1001A11LCP000002V7UG,料号
1001A11LCP000002V7UH,品名
1001A11LCP000002V7UI,规格
1001A11LCP000002V7UJ,存储地点
1001A11LCP000002V7UK,货位
1001A11LCP000002V7UL,入库数量
1001A11LCP000002V7UM,批次号
1001A11LCP000002V7UN,合格证号
1001A11LCP000002V7UO,自定义项1
1001A11LCP000002V7UP,自定义项2
1001A11LCP000002V7UQ,自定义项3
1001A11LCP000002V7UR,自定义项4
1001A11LCP000002V7US,自定义项5
1001A11LCP000002V7UT,自定义项6
1001A11LCP000002V7UU,自定义项7
1001A11LCP000002V7UV,自定义项8
1001A11LCP000002V7UW,自定义项9
1001A11LCP000002V7UX,自定义项10
1001A11LCP000002V7UY,自定义项11
1001A11LCP000002V7UZ,自定义项12
1001A11LCP000002V7V0,自定义项13
1001A11LCP000002V7V1,自定义项14
1001A11LCP000002V7V2,自定义项15
1001A11LCP000002V7V3,自定义项16
1001A11LCP000002V7V4,自定义项17
1001A11LCP000002V7V5,自定义项18
1001A11LCP000002V7V6,自定义项19
1001A11LCP000002V7V7,自定义项20
1001A11LCP000002V7V8,制单时间
1001A11LCP000002V7V9,最后修改时间
1001A11LCP000002V7VA,来源行号
1001A11LCP000002V7VB,组织多版本
1001A11LCP000002V7VC,创建人
1001A11LCP000002V7VD,创建时间
1001A11LCP000002V7VE,最后修改人
1001A11LCP000002V7VF,最后修改时间1
