PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002V7RK,组织
1001A11LCP000002V7RL,完工单号
1001A11LCP000002V7RM,name
1001A11LCP000002V7RN,pk_group
1001A11LCP000002V7RO,组织多版本
1001A11LCP000002V7RP,制单时间
1001A11LCP000002V7RQ,最后修改时间
1001A11LCP000002V7RR,创建人
1001A11LCP000002V7RS,创建时间
1001A11LCP000002V7RT,最后修改人
1001A11LCP000002V7RU,最后修改时间1
1001A11LCP000002V7RV,行号
1001A11LCP000002V7RW,来源行号
1001A11LCP000002V7RX,工艺进程单条码
1001A11LCP000002V7RY,生产订单号
1001A11LCP000002V7RZ,入库人
1001A11LCP000002V7S0,入库时间
1001A11LCP000002V7S1,工艺进程单号
1001A11LCP000002V7S2,料号
1001A11LCP000002V7S3,品名
1001A11LCP000002V7S4,规格
1001A11LCP000002V7S5,存储地点
1001A11LCP000002V7S6,货位
1001A11LCP000002V7S7,入库数量
1001A11LCP000002V7S8,批次号
1001A11LCP000002V7S9,合格证号
1001A11LCP000002V7SA,自定义项1
1001A11LCP000002V7SB,自定义项2
1001A11LCP000002V7SC,自定义项3
1001A11LCP000002V7SD,自定义项4
1001A11LCP000002V7SE,自定义项5
1001A11LCP000002V7SF,自定义项6
1001A11LCP000002V7SG,自定义项7
1001A11LCP000002V7SH,自定义项8
1001A11LCP000002V7SI,自定义项9
1001A11LCP000002V7SJ,自定义项10
1001A11LCP000002V7SK,自定义项11
1001A11LCP000002V7SL,自定义项12
1001A11LCP000002V7SM,自定义项13
1001A11LCP000002V7SN,自定义项14
1001A11LCP000002V7SO,自定义项15
1001A11LCP000002V7SP,自定义项16
1001A11LCP000002V7SQ,自定义项17
1001A11LCP000002V7SR,自定义项18
1001A11LCP000002V7SS,自定义项19
1001A11LCP000002V7ST,自定义项20
