PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002UK83,pk_group
1001A11LCP000002UK84,组织
1001A11LCP000002UK85,主键
1001A11LCP000002UK86,code
1001A11LCP000002UK87,工艺进程单条码
1001A11LCP000002UK88,生产订单号
1001A11LCP000002UK89,物料号
1001A11LCP000002UK8A,名称图号
1001A11LCP000002UK8B,产品型号
1001A11LCP000002UK8C,任务代码
1001A11LCP000002UK8D,生产批次
1001A11LCP000002UK8E,是否关键件
1001A11LCP000002UK8F,数量
1001A11LCP000002UK8G,计划完成时间
1001A11LCP000002UK8H,自定义项1
1001A11LCP000002UK8I,自定义项2
1001A11LCP000002UK8J,自定义项3
1001A11LCP000002UK8K,自定义项4
1001A11LCP000002UK8L,自定义项5
1001A11LCP000002UK8M,自定义项6
1001A11LCP000002UK8N,自定义项7
1001A11LCP000002UK8O,自定义项8
1001A11LCP000002UK8P,自定义项9
1001A11LCP000002UK8Q,自定义项10
1001A11LCP000002UK8R,自定义项11
1001A11LCP000002UK8S,自定义项12
1001A11LCP000002UK8T,自定义项13
1001A11LCP000002UK8U,自定义项14
1001A11LCP000002UK8V,自定义项15
1001A11LCP000002UK8W,自定义项16
1001A11LCP000002UK8X,自定义项17
1001A11LCP000002UK8Y,自定义项18
1001A11LCP000002UK8Z,自定义项19
1001A11LCP000002UK90,自定义项20
1001A11LCP000002UK91,自定义项21
1001A11LCP000002UK92,自定义项22
1001A11LCP000002UK93,自定义项23
1001A11LCP000002UK94,自定义项24
1001A11LCP000002UK95,自定义项25
1001A11LCP000002UK96,自定义项26
1001A11LCP000002UK97,自定义项27
1001A11LCP000002UK98,自定义项28
1001A11LCP000002UK99,自定义项29
1001A11LCP000002UK9A,自定义项30
1001A11LCP000002UK9B,制单时间
1001A11LCP000002UK9C,最后修改时间
1001A11LCP000002UK9D,组织多版本
1001A11LCP000002UK9E,创建人
1001A11LCP000002UK9F,创建时间
1001A11LCP000002UK9G,最后修改人
1001A11LCP000002UK9H,最后修改时间1
1001A11LCP000002UK9I,pk_group
1001A11LCP000002UK9J,组织
1001A11LCP000002UK9K,主键
1001A11LCP000002UK9L,code
1001A11LCP000002UK9M,工艺进程单条码
1001A11LCP000002UK9N,生产订单号
1001A11LCP000002UK9O,物料号
1001A11LCP000002UK9P,名称图号
1001A11LCP000002UK9Q,产品型号
1001A11LCP000002UK9R,任务代码
1001A11LCP000002UK9S,生产批次
1001A11LCP000002UK9T,是否关键件
1001A11LCP000002UK9U,数量
1001A11LCP000002UK9V,计划完成时间
1001A11LCP000002UK9W,自定义项1
1001A11LCP000002UK9X,自定义项2
1001A11LCP000002UK9Y,自定义项3
1001A11LCP000002UK9Z,自定义项4
1001A11LCP000002UKA0,自定义项5
1001A11LCP000002UKA1,自定义项6
1001A11LCP000002UKA2,自定义项7
1001A11LCP000002UKA3,自定义项8
1001A11LCP000002UKA4,自定义项9
1001A11LCP000002UKA5,自定义项10
1001A11LCP000002UKA6,自定义项11
1001A11LCP000002UKA7,自定义项12
1001A11LCP000002UKA8,自定义项13
1001A11LCP000002UKA9,自定义项14
1001A11LCP000002UKAA,自定义项15
1001A11LCP000002UKAB,自定义项16
1001A11LCP000002UKAC,自定义项17
1001A11LCP000002UKAD,自定义项18
1001A11LCP000002UKAE,自定义项19
1001A11LCP000002UKAF,自定义项20
1001A11LCP000002UKAG,自定义项21
1001A11LCP000002UKAH,自定义项22
1001A11LCP000002UKAI,自定义项23
1001A11LCP000002UKAJ,自定义项24
1001A11LCP000002UKAK,自定义项25
1001A11LCP000002UKAL,自定义项26
1001A11LCP000002UKAM,自定义项27
1001A11LCP000002UKAN,自定义项28
1001A11LCP000002UKAO,自定义项29
1001A11LCP000002UKAP,自定义项30
1001A11LCP000002UKAQ,制单时间
1001A11LCP000002UKAR,最后修改时间
1001A11LCP000002UKAS,组织多版本
