PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002UK6P,组织
1001A11LCP000002UK6Q,code
1001A11LCP000002UK6R,pk_group
1001A11LCP000002UK6S,组织多版本
1001A11LCP000002UK6T,制单时间
1001A11LCP000002UK6U,最后修改时间
1001A11LCP000002UK6V,创建人
1001A11LCP000002UK6W,创建时间
1001A11LCP000002UK6X,最后修改人
1001A11LCP000002UK6Y,最后修改时间1
1001A11LCP000002UK6Z,工艺进程单条码
1001A11LCP000002UK70,生产订单号
1001A11LCP000002UK71,物料号
1001A11LCP000002UK72,名称图号
1001A11LCP000002UK73,产品型号
1001A11LCP000002UK74,任务代码
1001A11LCP000002UK75,生产批次
1001A11LCP000002UK76,是否关键件
1001A11LCP000002UK77,数量
1001A11LCP000002UK78,计划完成时间
1001A11LCP000002UK79,自定义项1
1001A11LCP000002UK7A,自定义项2
1001A11LCP000002UK7B,自定义项3
1001A11LCP000002UK7C,自定义项4
1001A11LCP000002UK7D,自定义项5
1001A11LCP000002UK7E,自定义项6
1001A11LCP000002UK7F,自定义项7
1001A11LCP000002UK7G,自定义项8
1001A11LCP000002UK7H,自定义项9
1001A11LCP000002UK7I,自定义项10
1001A11LCP000002UK7J,自定义项11
1001A11LCP000002UK7K,自定义项12
1001A11LCP000002UK7L,自定义项13
1001A11LCP000002UK7M,自定义项14
1001A11LCP000002UK7N,自定义项15
1001A11LCP000002UK7O,自定义项16
1001A11LCP000002UK7P,自定义项17
1001A11LCP000002UK7Q,自定义项18
1001A11LCP000002UK7R,自定义项19
1001A11LCP000002UK7S,自定义项20
1001A11LCP000002UK7T,自定义项21
1001A11LCP000002UK7U,自定义项22
1001A11LCP000002UK7V,自定义项23
1001A11LCP000002UK7W,自定义项24
1001A11LCP000002UK7X,自定义项25
1001A11LCP000002UK7Y,自定义项26
1001A11LCP000002UK7Z,自定义项27
1001A11LCP000002UK80,自定义项28
1001A11LCP000002UK81,自定义项29
1001A11LCP000002UK82,自定义项30
