PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002ET20,pk_group
1001A11LCP000002ET21,组织
1001A11LCP000002ET22,主键
1001A11LCP000002ET23,code
1001A11LCP000002ET24,扫描工装条码
1001A11LCP000002ET25,工装调整单
1001A11LCP000002ET26,调整部门
1001A11LCP000002ET27,调整人
1001A11LCP000002ET28,调整前仓库
1001A11LCP000002ET29,调整后仓库
1001A11LCP000002ET2A,备注
1001A11LCP000002ET2B,自定义项1
1001A11LCP000002ET2C,自定义项2
1001A11LCP000002ET2D,自定义项3
1001A11LCP000002ET2E,自定义项4
1001A11LCP000002ET2F,自定义项5
1001A11LCP000002ET2G,自定义项6
1001A11LCP000002ET2H,自定义项7
1001A11LCP000002ET2I,自定义项8
1001A11LCP000002ET2J,自定义项9
1001A11LCP000002ET2K,自定义项10
1001A11LCP000002ET2L,自定义项11
1001A11LCP000002ET2M,自定义项12
1001A11LCP000002ET2N,自定义项13
1001A11LCP000002ET2O,自定义项14
1001A11LCP000002ET2P,自定义项15
1001A11LCP000002ET2Q,自定义项16
1001A11LCP000002ET2R,自定义项17
1001A11LCP000002ET2S,自定义项18
1001A11LCP000002ET2T,自定义项19
1001A11LCP000002ET2U,自定义项20
1001A11LCP000002ET2V,自定义项21
1001A11LCP000002ET2W,自定义项22
1001A11LCP000002ET2X,自定义项23
1001A11LCP000002ET2Y,自定义项24
1001A11LCP000002ET2Z,自定义项25
1001A11LCP000002ET30,自定义项26
1001A11LCP000002ET31,自定义项27
1001A11LCP000002ET32,自定义项28
1001A11LCP000002ET33,自定义项29
1001A11LCP000002ET34,自定义项30
1001A11LCP000002ET35,制单时间
1001A11LCP000002ET36,最后修改时间
1001A11LCP000002ET37,组织多版本
1001A11LCP000002ET38,创建人
1001A11LCP000002ET39,创建时间
1001A11LCP000002ET3A,最后修改人
1001A11LCP000002ET3B,最后修改时间1
1001A11LCP000002ET3C,pk_group
1001A11LCP000002ET3D,组织
1001A11LCP000002ET3E,主键
1001A11LCP000002ET3F,code
1001A11LCP000002ET3G,扫描工装条码
1001A11LCP000002ET3H,工装调整单
1001A11LCP000002ET3I,调整部门
1001A11LCP000002ET3J,调整人
1001A11LCP000002ET3K,调整前仓库
1001A11LCP000002ET3L,调整后仓库
1001A11LCP000002ET3M,备注
1001A11LCP000002ET3N,自定义项1
1001A11LCP000002ET3O,自定义项2
1001A11LCP000002ET3P,自定义项3
1001A11LCP000002ET3Q,自定义项4
1001A11LCP000002ET3R,自定义项5
1001A11LCP000002ET3S,自定义项6
1001A11LCP000002ET3T,自定义项7
1001A11LCP000002ET3U,自定义项8
1001A11LCP000002ET3V,自定义项9
1001A11LCP000002ET3W,自定义项10
1001A11LCP000002ET3X,自定义项11
1001A11LCP000002ET3Y,自定义项12
1001A11LCP000002ET3Z,自定义项13
1001A11LCP000002ET40,自定义项14
1001A11LCP000002ET41,自定义项15
1001A11LCP000002ET42,自定义项16
1001A11LCP000002ET43,自定义项17
1001A11LCP000002ET44,自定义项18
1001A11LCP000002ET45,自定义项19
1001A11LCP000002ET46,自定义项20
1001A11LCP000002ET47,自定义项21
1001A11LCP000002ET48,自定义项22
1001A11LCP000002ET49,自定义项23
1001A11LCP000002ET4A,自定义项24
1001A11LCP000002ET4B,自定义项25
1001A11LCP000002ET4C,自定义项26
1001A11LCP000002ET4D,自定义项27
1001A11LCP000002ET4E,自定义项28
1001A11LCP000002ET4F,自定义项29
1001A11LCP000002ET4G,自定义项30
1001A11LCP000002ET4H,制单时间
1001A11LCP000002ET4I,最后修改时间
1001A11LCP000002ET4J,组织多版本
1001A11LCP000002ET4K,创建人
1001A11LCP000002ET4L,创建时间
1001A11LCP000002ET4M,最后修改人
1001A11LCP000002ET4N,最后修改时间1
1001A11LCP000002ET4O,行号
1001A11LCP000002ET4P,主键
1001A11LCP000002ET4Q,料号
1001A11LCP000002ET4R,品名
1001A11LCP000002ET4S,规格
1001A11LCP000002ET4T,调整前仓库
1001A11LCP000002ET4U,调整前货位
1001A11LCP000002ET4V,调整后仓库
1001A11LCP000002ET4W,调整后货位
1001A11LCP000002ET4X,调整数量
1001A11LCP000002ET4Y,自定义项1
1001A11LCP000002ET4Z,自定义项2
1001A11LCP000002ET50,自定义项3
1001A11LCP000002ET51,自定义项4
1001A11LCP000002ET52,自定义项5
1001A11LCP000002ET53,自定义项6
1001A11LCP000002ET54,自定义项7
1001A11LCP000002ET55,自定义项8
1001A11LCP000002ET56,自定义项9
1001A11LCP000002ET57,自定义项10
1001A11LCP000002ET58,自定义项11
1001A11LCP000002ET59,自定义项12
1001A11LCP000002ET5A,自定义项13
1001A11LCP000002ET5B,自定义项14
1001A11LCP000002ET5C,自定义项15
1001A11LCP000002ET5D,自定义项16
1001A11LCP000002ET5E,自定义项17
1001A11LCP000002ET5F,自定义项18
1001A11LCP000002ET5G,自定义项19
1001A11LCP000002ET5H,自定义项20
1001A11LCP000002ET5I,自定义项21
1001A11LCP000002ET5J,自定义项22
1001A11LCP000002ET5K,自定义项23
1001A11LCP000002ET5L,自定义项24
1001A11LCP000002ET5M,自定义项25
1001A11LCP000002ET5N,自定义项26
1001A11LCP000002ET5O,自定义项27
1001A11LCP000002ET5P,自定义项28
1001A11LCP000002ET5Q,自定义项29
1001A11LCP000002ET5R,自定义项30
1001A11LCP000002ET5S,来源行号
1001A11LCP000002ET5T,行号
1001A11LCP000002ET5U,主键
1001A11LCP000002ET5V,料号
1001A11LCP000002ET5W,品名
1001A11LCP000002ET5X,规格
1001A11LCP000002ET5Y,调整前仓库
1001A11LCP000002ET5Z,调整前货位
1001A11LCP000002ET60,调整后仓库
1001A11LCP000002ET61,调整后货位
1001A11LCP000002ET62,调整数量
1001A11LCP000002ET63,自定义项1
1001A11LCP000002ET64,自定义项2
1001A11LCP000002ET65,自定义项3
1001A11LCP000002ET66,自定义项4
1001A11LCP000002ET67,自定义项5
1001A11LCP000002ET68,自定义项6
1001A11LCP000002ET69,自定义项7
1001A11LCP000002ET6A,自定义项8
1001A11LCP000002ET6B,自定义项9
1001A11LCP000002ET6C,自定义项10
1001A11LCP000002ET6D,自定义项11
1001A11LCP000002ET6E,自定义项12
1001A11LCP000002ET6F,自定义项13
1001A11LCP000002ET6G,自定义项14
1001A11LCP000002ET6H,自定义项15
1001A11LCP000002ET6I,自定义项16
1001A11LCP000002ET6J,自定义项17
1001A11LCP000002ET6K,自定义项18
1001A11LCP000002ET6L,自定义项19
1001A11LCP000002ET6M,自定义项20
1001A11LCP000002ET6N,自定义项21
1001A11LCP000002ET6O,自定义项22
1001A11LCP000002ET6P,自定义项23
1001A11LCP000002ET6Q,自定义项24
1001A11LCP000002ET6R,自定义项25
1001A11LCP000002ET6S,自定义项26
1001A11LCP000002ET6T,自定义项27
1001A11LCP000002ET6U,自定义项28
1001A11LCP000002ET6V,自定义项29
1001A11LCP000002ET6W,自定义项30
1001A11LCP000002ET6X,来源行号
1001A11LCP000002ET6Y,行号
1001A11LCP000002ET6Z,主键
1001A11LCP000002ET70,料号
1001A11LCP000002ET71,品名
1001A11LCP000002ET72,规格
1001A11LCP000002ET73,调整前仓库
1001A11LCP000002ET74,调整前货位
1001A11LCP000002ET75,调整后仓库
1001A11LCP000002ET76,调整后货位
1001A11LCP000002ET77,调整数量
1001A11LCP000002ET78,自定义项1
1001A11LCP000002ET79,自定义项2
1001A11LCP000002ET7A,自定义项3
1001A11LCP000002ET7B,自定义项4
1001A11LCP000002ET7C,自定义项5
1001A11LCP000002ET7D,自定义项6
1001A11LCP000002ET7E,自定义项7
1001A11LCP000002ET7F,自定义项8
1001A11LCP000002ET7G,自定义项9
1001A11LCP000002ET7H,自定义项10
1001A11LCP000002ET7I,自定义项11
1001A11LCP000002ET7J,自定义项12
1001A11LCP000002ET7K,自定义项13
1001A11LCP000002ET7L,自定义项14
1001A11LCP000002ET7M,自定义项15
1001A11LCP000002ET7N,自定义项16
1001A11LCP000002ET7O,自定义项17
1001A11LCP000002ET7P,自定义项18
1001A11LCP000002ET7Q,自定义项19
1001A11LCP000002ET7R,自定义项20
1001A11LCP000002ET7S,自定义项21
1001A11LCP000002ET7T,自定义项22
1001A11LCP000002ET7U,自定义项23
1001A11LCP000002ET7V,自定义项24
1001A11LCP000002ET7W,自定义项25
1001A11LCP000002ET7X,自定义项26
1001A11LCP000002ET7Y,自定义项27
1001A11LCP000002ET7Z,自定义项28
1001A11LCP000002ET80,自定义项29
1001A11LCP000002ET81,自定义项30
1001A11LCP000002ET82,来源行号
