PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002ET0P,组织
1001A11LCP000002ET0Q,code
1001A11LCP000002ET0R,pk_group
1001A11LCP000002ET0S,组织多版本
1001A11LCP000002ET0T,制单时间
1001A11LCP000002ET0U,最后修改时间
1001A11LCP000002ET0V,创建人
1001A11LCP000002ET0W,创建时间
1001A11LCP000002ET0X,最后修改人
1001A11LCP000002ET0Y,最后修改时间1
1001A11LCP000002ET0Z,扫描工装条码
1001A11LCP000002ET10,工装调整单
1001A11LCP000002ET11,调整部门
1001A11LCP000002ET12,调整人
1001A11LCP000002ET13,调整前仓库
1001A11LCP000002ET14,调整后仓库
1001A11LCP000002ET15,备注
1001A11LCP000002ET16,自定义项1
1001A11LCP000002ET17,自定义项2
1001A11LCP000002ET18,自定义项3
1001A11LCP000002ET19,自定义项4
1001A11LCP000002ET1A,自定义项5
1001A11LCP000002ET1B,自定义项6
1001A11LCP000002ET1C,自定义项7
1001A11LCP000002ET1D,自定义项8
1001A11LCP000002ET1E,自定义项9
1001A11LCP000002ET1F,自定义项10
1001A11LCP000002ET1G,自定义项11
1001A11LCP000002ET1H,自定义项12
1001A11LCP000002ET1I,自定义项13
1001A11LCP000002ET1J,自定义项14
1001A11LCP000002ET1K,自定义项15
1001A11LCP000002ET1L,自定义项16
1001A11LCP000002ET1M,自定义项17
1001A11LCP000002ET1N,自定义项18
1001A11LCP000002ET1O,自定义项19
1001A11LCP000002ET1P,自定义项20
1001A11LCP000002ET1Q,自定义项21
1001A11LCP000002ET1R,自定义项22
1001A11LCP000002ET1S,自定义项23
1001A11LCP000002ET1T,自定义项24
1001A11LCP000002ET1U,自定义项25
1001A11LCP000002ET1V,自定义项26
1001A11LCP000002ET1W,自定义项27
1001A11LCP000002ET1X,自定义项28
1001A11LCP000002ET1Y,自定义项29
1001A11LCP000002ET1Z,自定义项30
