PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002C59E,pk_org
1001A11LCP000002C59F,code
1001A11LCP000002C59G,pk_group
1001A11LCP000002C59H,组织多版本
1001A11LCP000002C59I,制单时间
1001A11LCP000002C59J,最后修改时间
1001A11LCP000002C59K,创建人
1001A11LCP000002C59L,创建时间
1001A11LCP000002C59M,最后修改人
1001A11LCP000002C59N,最后修改时间1
1001A11LCP000002C59O,库内调拨单
1001A11LCP000002C59P,调拨部门
1001A11LCP000002C59Q,调拨人
1001A11LCP000002C59R,调拨时间
1001A11LCP000002C59S,调拨仓库
1001A11LCP000002C59T,备注
1001A11LCP000002C59U,自定义项1
1001A11LCP000002C59V,自定义项2
1001A11LCP000002C59W,自定义项3
1001A11LCP000002C59X,自定义项4
1001A11LCP000002C59Y,自定义项5
1001A11LCP000002C59Z,自定义项6
1001A11LCP000002C5A0,自定义项7
1001A11LCP000002C5A1,自定义项8
1001A11LCP000002C5A2,自定义项9
1001A11LCP000002C5A3,自定义项10
1001A11LCP000002C5A4,自定义项11
1001A11LCP000002C5A5,自定义项12
1001A11LCP000002C5A6,自定义项13
1001A11LCP000002C5A7,自定义项14
1001A11LCP000002C5A8,自定义项15
1001A11LCP000002C5A9,自定义项16
1001A11LCP000002C5AA,自定义项17
1001A11LCP000002C5AB,自定义项18
1001A11LCP000002C5AC,自定义项19
1001A11LCP000002C5AD,自定义项20
1001A11LCP000002C5AE,自定义项21
1001A11LCP000002C5AF,自定义项22
1001A11LCP000002C5AG,自定义项23
1001A11LCP000002C5AH,自定义项24
1001A11LCP000002C5AI,自定义项25
1001A11LCP000002C5AJ,自定义项26
1001A11LCP000002C5AK,自定义项27
1001A11LCP000002C5AL,自定义项28
1001A11LCP000002C5AM,自定义项29
1001A11LCP000002C5AN,自定义项30
