PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002V7HU,集团
1001A11LCP000002V7HV,组织
1001A11LCP000002V7HW,主键
1001A11LCP000002V7HX,临时工艺进程单号
1001A11LCP000002V7HY,name
1001A11LCP000002V7HZ,项目批号
1001A11LCP000002V7I0,来源工艺进程单
1001A11LCP000002V7I1,任务代码
1001A11LCP000002V7I2,技术文件编号
1001A11LCP000002V7I3,产品型号
1001A11LCP000002V7I4,生产批次
1001A11LCP000002V7I5,物料号
1001A11LCP000002V7I6,名称图号
1001A11LCP000002V7I7,源订单号
1001A11LCP000002V7I8,数量
1001A11LCP000002V7I9,来源说明
1001A11LCP000002V7IA,改制源订单
1001A11LCP000002V7IB,是否关键件
1001A11LCP000002V7IC,实际材料
1001A11LCP000002V7ID,化验单号
1001A11LCP000002V7IE,加工数量
1001A11LCP000002V7IF,计划完成时间
1001A11LCP000002V7IG,代科单号
1001A11LCP000002V7IH,设计材料
1001A11LCP000002V7II,合格证号
1001A11LCP000002V7IJ,当前炉批号/件号
1001A11LCP000002V7IK,生产订单号
1001A11LCP000002V7IL,自定义项1
1001A11LCP000002V7IM,自定义项2
1001A11LCP000002V7IN,自定义项3
1001A11LCP000002V7IO,自定义项4
1001A11LCP000002V7IP,自定义项5
1001A11LCP000002V7IQ,自定义项6
1001A11LCP000002V7IR,自定义项7
1001A11LCP000002V7IS,自定义项8
1001A11LCP000002V7IT,自定义项9
1001A11LCP000002V7IU,自定义项10
1001A11LCP000002V7IV,自定义项11
1001A11LCP000002V7IW,自定义项12
1001A11LCP000002V7IX,自定义项13
1001A11LCP000002V7IY,自定义项14
1001A11LCP000002V7IZ,自定义项15
1001A11LCP000002V7J0,自定义项16
1001A11LCP000002V7J1,自定义项17
1001A11LCP000002V7J2,自定义项18
1001A11LCP000002V7J3,自定义项19
1001A11LCP000002V7J4,自定义项20
1001A11LCP000002V7J5,制单时间
1001A11LCP000002V7J6,最后修改时间
1001A11LCP000002V7J7,组织多版本
1001A11LCP000002V7J8,创建人
1001A11LCP000002V7J9,创建时间
1001A11LCP000002V7JA,最后修改人
1001A11LCP000002V7JB,修改时间
1001A11LCP000002V7JC,集团
1001A11LCP000002V7JD,组织
1001A11LCP000002V7JE,主键
1001A11LCP000002V7JF,临时工艺进程单号
1001A11LCP000002V7JG,name
1001A11LCP000002V7JH,项目批号
1001A11LCP000002V7JI,来源工艺进程单
1001A11LCP000002V7JJ,任务代码
1001A11LCP000002V7JK,技术文件编号
1001A11LCP000002V7JL,产品型号
1001A11LCP000002V7JM,生产批次
1001A11LCP000002V7JN,物料号
1001A11LCP000002V7JO,名称图号
1001A11LCP000002V7JP,源订单号
1001A11LCP000002V7JQ,数量
1001A11LCP000002V7JR,来源说明
1001A11LCP000002V7JS,改制源订单
1001A11LCP000002V7JT,是否关键件
1001A11LCP000002V7JU,实际材料
1001A11LCP000002V7JV,化验单号
1001A11LCP000002V7JW,加工数量
1001A11LCP000002V7JX,计划完成时间
1001A11LCP000002V7JY,代科单号
1001A11LCP000002V7JZ,设计材料
1001A11LCP000002V7K0,合格证号
1001A11LCP000002V7K1,当前炉批号/件号
1001A11LCP000002V7K2,生产订单号
1001A11LCP000002V7K3,自定义项1
1001A11LCP000002V7K4,自定义项2
1001A11LCP000002V7K5,自定义项3
1001A11LCP000002V7K6,自定义项4
1001A11LCP000002V7K7,自定义项5
1001A11LCP000002V7K8,自定义项6
1001A11LCP000002V7K9,自定义项7
1001A11LCP000002V7KA,自定义项8
1001A11LCP000002V7KB,自定义项9
1001A11LCP000002V7KC,自定义项10
1001A11LCP000002V7KD,自定义项11
1001A11LCP000002V7KE,自定义项12
1001A11LCP000002V7KF,自定义项13
1001A11LCP000002V7KG,自定义项14
1001A11LCP000002V7KH,自定义项15
1001A11LCP000002V7KI,自定义项16
1001A11LCP000002V7KJ,自定义项17
1001A11LCP000002V7KK,自定义项18
1001A11LCP000002V7KL,自定义项19
1001A11LCP000002V7KM,自定义项20
1001A11LCP000002V7KN,制单时间
1001A11LCP000002V7KO,最后修改时间
1001A11LCP000002V7KP,组织多版本
1001A11LCP000002V7KQ,创建人
1001A11LCP000002V7KR,创建时间
1001A11LCP000002V7KS,最后修改人
1001A11LCP000002V7KT,修改时间
1001A11LCP000002V7KU,行号
1001A11LCP000002V7KV,检验标识
1001A11LCP000002V7KW,部门
1001A11LCP000002V7KX,工作中心
1001A11LCP000002V7KY,班组
1001A11LCP000002V7KZ,准备工时(分)
1001A11LCP000002V7L0,加工工时(分)
1001A11LCP000002V7L1,是否转序
1001A11LCP000002V7L2,是否已完成
1001A11LCP000002V7L3,工序要求进度
1001A11LCP000002V7L4,合格数
1001A11LCP000002V7L5,超差数
1001A11LCP000002V7L6,报废数量
1001A11LCP000002V7L7,实际工时
1001A11LCP000002V7L8,检验人
1001A11LCP000002V7L9,检验日期
1001A11LCP000002V7LA,检测不合格记录及处理结果
1001A11LCP000002V7LB,其他记录及相关记录编号
1001A11LCP000002V7LC,自定义项1
1001A11LCP000002V7LD,自定义项2
1001A11LCP000002V7LE,自定义项3
1001A11LCP000002V7LF,自定义项4
1001A11LCP000002V7LG,自定义项5
1001A11LCP000002V7LH,自定义项6
1001A11LCP000002V7LI,自定义项7
1001A11LCP000002V7LJ,自定义项8
1001A11LCP000002V7LK,自定义项9
1001A11LCP000002V7LL,自定义项10
