PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002V7GD,组织
1001A11LCP000002V7GE,临时工艺进程单号
1001A11LCP000002V7GF,name
1001A11LCP000002V7GG,项目批号
1001A11LCP000002V7GH,集团
1001A11LCP000002V7GI,组织多版本
1001A11LCP000002V7GJ,制单时间
1001A11LCP000002V7GK,最后修改时间
1001A11LCP000002V7GL,创建人
1001A11LCP000002V7GM,创建时间
1001A11LCP000002V7GN,最后修改人
1001A11LCP000002V7GO,修改时间
1001A11LCP000002V7GP,来源工艺进程单
1001A11LCP000002V7GQ,任务代码
1001A11LCP000002V7GR,技术文件编号
1001A11LCP000002V7GS,产品型号
1001A11LCP000002V7GT,生产批次
1001A11LCP000002V7GU,物料号
1001A11LCP000002V7GV,名称图号
1001A11LCP000002V7GW,源订单号
1001A11LCP000002V7GX,数量
1001A11LCP000002V7GY,来源说明
1001A11LCP000002V7GZ,改制源订单
1001A11LCP000002V7H0,是否关键件
1001A11LCP000002V7H1,实际材料
1001A11LCP000002V7H2,化验单号
1001A11LCP000002V7H3,加工数量
1001A11LCP000002V7H4,计划完成时间
1001A11LCP000002V7H5,代科单号
1001A11LCP000002V7H6,设计材料
1001A11LCP000002V7H7,合格证号
1001A11LCP000002V7H8,当前炉批号/件号
1001A11LCP000002V7H9,生产订单号
1001A11LCP000002V7HA,自定义项1
1001A11LCP000002V7HB,自定义项2
1001A11LCP000002V7HC,自定义项3
1001A11LCP000002V7HD,自定义项4
1001A11LCP000002V7HE,自定义项5
1001A11LCP000002V7HF,自定义项6
1001A11LCP000002V7HG,自定义项7
1001A11LCP000002V7HH,自定义项8
1001A11LCP000002V7HI,自定义项9
1001A11LCP000002V7HJ,自定义项10
1001A11LCP000002V7HK,自定义项11
1001A11LCP000002V7HL,自定义项12
1001A11LCP000002V7HM,自定义项13
1001A11LCP000002V7HN,自定义项14
1001A11LCP000002V7HO,自定义项15
1001A11LCP000002V7HP,自定义项16
1001A11LCP000002V7HQ,自定义项17
1001A11LCP000002V7HR,自定义项18
1001A11LCP000002V7HS,自定义项19
1001A11LCP000002V7HT,自定义项20
