PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002UVQ0,组织
1001A11LCP000002UVQ1,订单号
1001A11LCP000002UVQ2,料号
1001A11LCP000002UVQ3,品名
1001A11LCP000002UVQ4,名称图号
1001A11LCP000002UVQ5,源订单号
1001A11LCP000002UVQ6,数量
1001A11LCP000002UVQ7,来源说明
1001A11LCP000002UVQ8,改制源订单
1001A11LCP000002UVQ9,是否关键件
1001A11LCP000002UVQA,实际材料
1001A11LCP000002UVQB,化验单号
1001A11LCP000002UVQC,加工数量
1001A11LCP000002UVQD,计划完成时间
1001A11LCP000002UVQE,代料单号
1001A11LCP000002UVQF,设计材料
1001A11LCP000002UVQG,合格证号
1001A11LCP000002UVQH,当前炉批号/件号
1001A11LCP000002UVQI,生产订单号
1001A11LCP000002UVQJ,是否已拆分
1001A11LCP000002UVQK,当前工序说明
1001A11LCP000002UVQL,检验标识
1001A11LCP000002UVQM,部门
1001A11LCP000002UVQN,工作中心
1001A11LCP000002UVQO,准备工时
1001A11LCP000002UVQP,加工工时
1001A11LCP000002UVQQ,供应商
1001A11LCP000002UVQR,自定义项1
1001A11LCP000002UVQS,自定义项2
1001A11LCP000002UVQT,自定义项3
1001A11LCP000002UVQU,自定义项4
1001A11LCP000002UVQV,自定义项5
1001A11LCP000002UVQW,自定义项6
1001A11LCP000002UVQX,自定义项7
1001A11LCP000002UVQY,自定义项8
1001A11LCP000002UVQZ,自定义项9
1001A11LCP000002UVR0,自定义项10
1001A11LCP000002UVR1,自定义项11
1001A11LCP000002UVR2,自定义项12
1001A11LCP000002UVR3,自定义项13
1001A11LCP000002UVR4,自定义项14
1001A11LCP000002UVR5,自定义项15
1001A11LCP000002UVR6,自定义项16
1001A11LCP000002UVR7,自定义项17
1001A11LCP000002UVR8,自定义项18
1001A11LCP000002UVR9,自定义项19
1001A11LCP000002UVRA,自定义项20
1001A11LCP000002UVRB,pk_group
1001A11LCP000002UVRC,组织多版本
1001A11LCP000002UVRD,制单时间
1001A11LCP000002UVRE,最后修改时间
1001A11LCP000002UVRF,创建人
1001A11LCP000002UVRG,创建时间
1001A11LCP000002UVRH,最后修改人
1001A11LCP000002UVRI,最后修改时间1
1001A11LCP000002UVRJ,行号
1001A11LCP000002UVRK,来源行号
1001A11LCP000002UVRL,计划令号
1001A11LCP000002UVRM,任务代码
1001A11LCP000002UVRN,技术文件编号
1001A11LCP000002UVRO,项目批号
1001A11LCP000002UVRP,产品型号
1001A11LCP000002UVRQ,生产批次
1001A11LCP000002UVRR,物料
