PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002Q2EF,组织
1001A11LCP000002Q2EG,code
1001A11LCP000002Q2EH,自定义项13
1001A11LCP000002Q2EI,pk_group
1001A11LCP000002Q2EJ,组织多版本
1001A11LCP000002Q2EK,制单时间
1001A11LCP000002Q2EL,最后修改时间
1001A11LCP000002Q2EM,创建人
1001A11LCP000002Q2EN,创建时间
1001A11LCP000002Q2EO,最后修改人
1001A11LCP000002Q2EP,最后修改时间1
1001A11LCP000002Q2EQ,扫描其他出库申请单
1001A11LCP000002Q2ER,其他出库单
1001A11LCP000002Q2ES,其他出库申请单号
1001A11LCP000002Q2ET,出库人
1001A11LCP000002Q2EU,出库时间
1001A11LCP000002Q2EV,仓库
1001A11LCP000002Q2EW,备注
1001A11LCP000002Q2EX,自定义项1
1001A11LCP000002Q2EY,自定义项2
1001A11LCP000002Q2EZ,自定义项3
1001A11LCP000002Q2F0,自定义项4
1001A11LCP000002Q2F1,自定义项5
1001A11LCP000002Q2F2,自定义项6
1001A11LCP000002Q2F3,自定义项7
1001A11LCP000002Q2F4,自定义项8
1001A11LCP000002Q2F5,自定义项9
1001A11LCP000002Q2F6,自定义项10
1001A11LCP000002Q2F7,自定义项11
1001A11LCP000002Q2F8,自定义项12
1001A11LCP000002Q2F9,自定义项14
1001A11LCP000002Q2FA,自定义项15
1001A11LCP000002Q2FB,自定义项16
1001A11LCP000002Q2FC,自定义项17
1001A11LCP000002Q2FD,自定义项18
1001A11LCP000002Q2FE,自定义项19
1001A11LCP000002Q2FF,自定义项20
1001A11LCP000002Q2FG,自定义项21
1001A11LCP000002Q2FH,自定义项22
1001A11LCP000002Q2FI,自定义项23
1001A11LCP000002Q2FJ,自定义项24
1001A11LCP000002Q2FK,自定义项25
1001A11LCP000002Q2FL,自定义项26
1001A11LCP000002Q2FM,自定义项27
1001A11LCP000002Q2FN,自定义项28
1001A11LCP000002Q2FO,自定义项29
1001A11LCP000002Q2FP,自定义项30
