PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002Q25A,pk_group
1001A11LCP000002Q25B,pk_org
1001A11LCP000002Q25C,主键
1001A11LCP000002Q25D,code
1001A11LCP000002Q25E,杂收申请单号
1001A11LCP000002Q25F,申请部门
1001A11LCP000002Q25G,申请人
1001A11LCP000002Q25H,申请时间
1001A11LCP000002Q25I,备注
1001A11LCP000002Q25J,自定义项1
1001A11LCP000002Q25K,自定义项2
1001A11LCP000002Q25L,自定义项3
1001A11LCP000002Q25M,自定义项4
1001A11LCP000002Q25N,自定义项5
1001A11LCP000002Q25O,自定义项6
1001A11LCP000002Q25P,自定义项7
1001A11LCP000002Q25Q,自定义项8
1001A11LCP000002Q25R,自定义项9
1001A11LCP000002Q25S,自定义项10
1001A11LCP000002Q25T,自定义项11
1001A11LCP000002Q25U,自定义项12
1001A11LCP000002Q25V,自定义项13
1001A11LCP000002Q25W,自定义项14
1001A11LCP000002Q25X,自定义项15
1001A11LCP000002Q25Y,自定义项16
1001A11LCP000002Q25Z,自定义项17
1001A11LCP000002Q260,自定义项18
1001A11LCP000002Q261,自定义项19
1001A11LCP000002Q262,自定义项20
1001A11LCP000002Q263,自定义项21
1001A11LCP000002Q264,自定义项22
1001A11LCP000002Q265,自定义项23
1001A11LCP000002Q266,自定义项24
1001A11LCP000002Q267,自定义项25
1001A11LCP000002Q268,自定义项26
1001A11LCP000002Q269,自定义项27
1001A11LCP000002Q26A,自定义项28
1001A11LCP000002Q26B,自定义项29
1001A11LCP000002Q26C,自定义项30
1001A11LCP000002Q26D,制单时间
1001A11LCP000002Q26E,最后修改时间
1001A11LCP000002Q26F,组织多版本
1001A11LCP000002Q26G,创建人
1001A11LCP000002Q26H,创建时间
1001A11LCP000002Q26I,最后修改人
1001A11LCP000002Q26J,最后修改时间1
1001A11LCP000002Q26K,pk_group
1001A11LCP000002Q26L,pk_org
1001A11LCP000002Q26M,主键
1001A11LCP000002Q26N,code
1001A11LCP000002Q26O,杂收申请单号
1001A11LCP000002Q26P,申请部门
1001A11LCP000002Q26Q,申请人
1001A11LCP000002Q26R,申请时间
1001A11LCP000002Q26S,备注
1001A11LCP000002Q26T,自定义项1
1001A11LCP000002Q26U,自定义项2
1001A11LCP000002Q26V,自定义项3
1001A11LCP000002Q26W,自定义项4
1001A11LCP000002Q26X,自定义项5
1001A11LCP000002Q26Y,自定义项6
1001A11LCP000002Q26Z,自定义项7
1001A11LCP000002Q270,自定义项8
1001A11LCP000002Q271,自定义项9
1001A11LCP000002Q272,自定义项10
1001A11LCP000002Q273,自定义项11
1001A11LCP000002Q274,自定义项12
1001A11LCP000002Q275,自定义项13
1001A11LCP000002Q276,自定义项14
1001A11LCP000002Q277,自定义项15
1001A11LCP000002Q278,自定义项16
1001A11LCP000002Q279,自定义项17
1001A11LCP000002Q27A,自定义项18
1001A11LCP000002Q27B,自定义项19
1001A11LCP000002Q27C,自定义项20
1001A11LCP000002Q27D,自定义项21
1001A11LCP000002Q27E,自定义项22
1001A11LCP000002Q27F,自定义项23
1001A11LCP000002Q27G,自定义项24
1001A11LCP000002Q27H,自定义项25
1001A11LCP000002Q27I,自定义项26
1001A11LCP000002Q27J,自定义项27
1001A11LCP000002Q27K,自定义项28
1001A11LCP000002Q27L,自定义项29
1001A11LCP000002Q27M,自定义项30
1001A11LCP000002Q27N,制单时间
1001A11LCP000002Q27O,最后修改时间
1001A11LCP000002Q27P,组织多版本
1001A11LCP000002Q27Q,创建人
1001A11LCP000002Q27R,创建时间
1001A11LCP000002Q27S,最后修改人
1001A11LCP000002Q27T,最后修改时间1
1001A11LCP000002Q27U,行号
1001A11LCP000002Q27V,主键
1001A11LCP000002Q27W,名称
1001A11LCP000002Q27X,型号
1001A11LCP000002Q27Y,规格
