PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002Q241,pk_org
1001A11LCP000002Q242,code
1001A11LCP000002Q243,pk_group
1001A11LCP000002Q244,组织多版本
1001A11LCP000002Q245,制单时间
1001A11LCP000002Q246,最后修改时间
1001A11LCP000002Q247,创建人
1001A11LCP000002Q248,创建时间
1001A11LCP000002Q249,最后修改人
1001A11LCP000002Q24A,最后修改时间1
1001A11LCP000002Q24B,杂收申请单号
1001A11LCP000002Q24C,申请部门
1001A11LCP000002Q24D,申请人
1001A11LCP000002Q24E,申请时间
1001A11LCP000002Q24F,备注
1001A11LCP000002Q24G,自定义项1
1001A11LCP000002Q24H,自定义项2
1001A11LCP000002Q24I,自定义项3
1001A11LCP000002Q24J,自定义项4
1001A11LCP000002Q24K,自定义项5
1001A11LCP000002Q24L,自定义项6
1001A11LCP000002Q24M,自定义项7
1001A11LCP000002Q24N,自定义项8
1001A11LCP000002Q24O,自定义项9
1001A11LCP000002Q24P,自定义项10
1001A11LCP000002Q24Q,自定义项11
1001A11LCP000002Q24R,自定义项12
1001A11LCP000002Q24S,自定义项13
1001A11LCP000002Q24T,自定义项14
1001A11LCP000002Q24U,自定义项15
1001A11LCP000002Q24V,自定义项16
1001A11LCP000002Q24W,自定义项17
1001A11LCP000002Q24X,自定义项18
1001A11LCP000002Q24Y,自定义项19
1001A11LCP000002Q24Z,自定义项20
1001A11LCP000002Q250,自定义项21
1001A11LCP000002Q251,自定义项22
1001A11LCP000002Q252,自定义项23
1001A11LCP000002Q253,自定义项24
1001A11LCP000002Q254,自定义项25
1001A11LCP000002Q255,自定义项26
1001A11LCP000002Q256,自定义项27
1001A11LCP000002Q257,自定义项28
1001A11LCP000002Q258,自定义项29
1001A11LCP000002Q259,自定义项30
