PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002RW50,行号
1001A11LCP000002RW51,主键
1001A11LCP000002RW52,料号
1001A11LCP000002RW53,品名
1001A11LCP000002RW54,规格
1001A11LCP000002RW55,存储地点
1001A11LCP000002RW56,货位
1001A11LCP000002RW57,应发数量
1001A11LCP000002RW58,可超额量
1001A11LCP000002RW59,实发数量
1001A11LCP000002RW5A,批次号
1001A11LCP000002RW5B,自定义项1
1001A11LCP000002RW5C,自定义项2
1001A11LCP000002RW5D,自定义项3
1001A11LCP000002RW5E,自定义项4
1001A11LCP000002RW5F,自定义项5
1001A11LCP000002RW5G,自定义项6
1001A11LCP000002RW5H,自定义项7
1001A11LCP000002RW5I,自定义项8
1001A11LCP000002RW5J,自定义项9
1001A11LCP000002RW5K,自定义项10
1001A11LCP000002RW5L,自定义项11
1001A11LCP000002RW5M,自定义项12
1001A11LCP000002RW5N,自定义项13
1001A11LCP000002RW5O,自定义项14
1001A11LCP000002RW5P,自定义项15
1001A11LCP000002RW5Q,自定义项16
1001A11LCP000002RW5R,自定义项17
1001A11LCP000002RW5S,自定义项18
1001A11LCP000002RW5T,自定义项19
1001A11LCP000002RW5U,自定义项20
1001A11LCP000002RW5V,来源行号
1001A11LCP000002RW73,pk_group
1001A11LCP000002RW74,组织
1001A11LCP000002RW75,主键
1001A11LCP000002RW76,code
1001A11LCP000002RW77,生产领料单号
1001A11LCP000002RW78,生产订单号
1001A11LCP000002RW79,发料人
1001A11LCP000002RW7A,工艺进程单号
1001A11LCP000002RW7B,发料时间
1001A11LCP000002RW7C,备注
1001A11LCP000002RW7D,自定义项1
1001A11LCP000002RW7E,自定义项2
1001A11LCP000002RW7F,自定义项3
1001A11LCP000002RW7G,自定义项4
1001A11LCP000002RW7H,自定义项5
1001A11LCP000002RW7I,自定义项6
1001A11LCP000002RW7J,自定义项7
1001A11LCP000002RW7K,自定义项8
1001A11LCP000002RW7L,自定义项9
1001A11LCP000002RW7M,自定义项10
1001A11LCP000002RW7N,自定义项11
1001A11LCP000002RW7O,自定义项12
1001A11LCP000002RW7P,自定义项13
1001A11LCP000002RW7Q,自定义项14
1001A11LCP000002RW7R,自定义项15
1001A11LCP000002RW7S,自定义项16
1001A11LCP000002RW7T,自定义项17
1001A11LCP000002RW7U,自定义项18
1001A11LCP000002RW7V,自定义项19
1001A11LCP000002RW7W,自定义项20
1001A11LCP000002RW7X,制单时间
1001A11LCP000002RW7Y,最后修改时间
1001A11LCP000002RW7Z,组织多版本
1001A11LCP000002RW80,创建人
1001A11LCP000002RW81,创建时间
1001A11LCP000002RW82,最后修改人
1001A11LCP000002RW83,最后修改时间1
1001A11LCP000002RW84,pk_group
1001A11LCP000002RW85,组织
1001A11LCP000002RW86,主键
1001A11LCP000002RW87,code
1001A11LCP000002RW88,生产领料单号
1001A11LCP000002RW89,生产订单号
1001A11LCP000002RW8A,发料人
1001A11LCP000002RW8B,工艺进程单号
1001A11LCP000002RW8C,发料时间
1001A11LCP000002RW8D,备注
1001A11LCP000002RW8E,自定义项1
1001A11LCP000002RW8F,自定义项2
1001A11LCP000002RW8G,自定义项3
1001A11LCP000002RW8H,自定义项4
1001A11LCP000002RW8I,自定义项5
1001A11LCP000002RW8J,自定义项6
1001A11LCP000002RW8K,自定义项7
1001A11LCP000002RW8L,自定义项8
1001A11LCP000002RW8M,自定义项9
