PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002RW63,组织
1001A11LCP000002RW64,code
1001A11LCP000002RW65,pk_group
1001A11LCP000002RW66,组织多版本
1001A11LCP000002RW67,制单时间
1001A11LCP000002RW68,最后修改时间
1001A11LCP000002RW69,创建人
1001A11LCP000002RW6A,创建时间
1001A11LCP000002RW6B,最后修改人
1001A11LCP000002RW6C,最后修改时间1
1001A11LCP000002RW6D,生产领料单号
1001A11LCP000002RW6E,生产订单号
1001A11LCP000002RW6F,发料人
1001A11LCP000002RW6G,工艺进程单号
1001A11LCP000002RW6H,发料时间
1001A11LCP000002RW6I,备注
1001A11LCP000002RW6J,自定义项1
1001A11LCP000002RW6K,自定义项2
1001A11LCP000002RW6L,自定义项3
1001A11LCP000002RW6M,自定义项4
1001A11LCP000002RW6N,自定义项5
1001A11LCP000002RW6O,自定义项6
1001A11LCP000002RW6P,自定义项7
1001A11LCP000002RW6Q,自定义项8
1001A11LCP000002RW6R,自定义项9
1001A11LCP000002RW6S,自定义项10
1001A11LCP000002RW6T,自定义项11
1001A11LCP000002RW6U,自定义项12
1001A11LCP000002RW6V,自定义项13
1001A11LCP000002RW6W,自定义项14
1001A11LCP000002RW6X,自定义项15
1001A11LCP000002RW6Y,自定义项16
1001A11LCP000002RW6Z,自定义项17
1001A11LCP000002RW70,自定义项18
1001A11LCP000002RW71,自定义项19
1001A11LCP000002RW72,自定义项20
