PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000001XG2N,pk_group
1001ZZ1LCP000001XG2O,pk_org
1001ZZ1LCP000001XG2P,主键
1001ZZ1LCP000001XG2Q,code
1001ZZ1LCP000001XG2R,送货单条形码
1001ZZ1LCP000001XG2S,入库单号
1001ZZ1LCP000001XG2T,单据类型
1001ZZ1LCP000001XG2U,来源类别
1001ZZ1LCP000001XG2V,仓库
1001ZZ1LCP000001XG2W,供应商
1001ZZ1LCP000001XG2X,采购员
1001ZZ1LCP000001XG2Y,库管员
1001ZZ1LCP000001XG2Z,自定义项1
1001ZZ1LCP000001XG30,自定义项2
1001ZZ1LCP000001XG31,自定义项3
1001ZZ1LCP000001XG32,自定义项4
1001ZZ1LCP000001XG33,自定义项5
1001ZZ1LCP000001XG34,自定义项6
1001ZZ1LCP000001XG35,自定义项7
1001ZZ1LCP000001XG36,自定义项8
1001ZZ1LCP000001XG37,自定义项9
1001ZZ1LCP000001XG38,自定义项10
1001ZZ1LCP000001XG39,自定义项11
1001ZZ1LCP000001XG3A,自定义项12
1001ZZ1LCP000001XG3B,自定义项13
1001ZZ1LCP000001XG3C,自定义项14
1001ZZ1LCP000001XG3D,自定义项15
1001ZZ1LCP000001XG3E,自定义项16
1001ZZ1LCP000001XG3F,自定义项17
1001ZZ1LCP000001XG3G,自定义项18
1001ZZ1LCP000001XG3H,自定义项19
1001ZZ1LCP000001XG3I,自定义项20
1001ZZ1LCP000001XG3J,自定义项21
1001ZZ1LCP000001XG3K,自定义项22
1001ZZ1LCP000001XG3L,自定义项23
1001ZZ1LCP000001XG3M,自定义项24
1001ZZ1LCP000001XG3N,自定义项25
1001ZZ1LCP000001XG3O,自定义项26
1001ZZ1LCP000001XG3P,自定义项27
1001ZZ1LCP000001XG3Q,自定义项28
1001ZZ1LCP000001XG3R,自定义项29
1001ZZ1LCP000001XG3S,自定义项30
1001ZZ1LCP000001XG3T,制单时间
1001ZZ1LCP000001XG3U,最后修改时间
1001ZZ1LCP000001XG3V,组织多版本
1001ZZ1LCP000001XG3W,创建人
1001ZZ1LCP000001XG3X,入库时间
1001ZZ1LCP000001XG3Y,最后修改人
1001ZZ1LCP000001XG3Z,最后修改时间1
1001ZZ1LCP000001XG40,pk_group
1001ZZ1LCP000001XG41,pk_org
1001ZZ1LCP000001XG42,主键
1001ZZ1LCP000001XG43,code
1001ZZ1LCP000001XG44,送货单条形码
1001ZZ1LCP000001XG45,入库单号
1001ZZ1LCP000001XG46,单据类型
1001ZZ1LCP000001XG47,来源类别
1001ZZ1LCP000001XG48,仓库
1001ZZ1LCP000001XG49,供应商
1001ZZ1LCP000001XG4A,采购员
1001ZZ1LCP000001XG4B,库管员
1001ZZ1LCP000001XG4C,自定义项1
1001ZZ1LCP000001XG4D,自定义项2
1001ZZ1LCP000001XG4E,自定义项3
1001ZZ1LCP000001XG4F,自定义项4
1001ZZ1LCP000001XG4G,自定义项5
1001ZZ1LCP000001XG4H,自定义项6
1001ZZ1LCP000001XG4I,自定义项7
1001ZZ1LCP000001XG4J,自定义项8
1001ZZ1LCP000001XG4K,自定义项9
1001ZZ1LCP000001XG4L,自定义项10
1001ZZ1LCP000001XG4M,自定义项11
1001ZZ1LCP000001XG4N,自定义项12
1001ZZ1LCP000001XG4O,自定义项13
1001ZZ1LCP000001XG4P,自定义项14
1001ZZ1LCP000001XG4Q,自定义项15
1001ZZ1LCP000001XG4R,自定义项16
1001ZZ1LCP000001XG4S,自定义项17
1001ZZ1LCP000001XG4T,自定义项18
1001ZZ1LCP000001XG4U,自定义项19
1001ZZ1LCP000001XG4V,自定义项20
1001ZZ1LCP000001XG4W,自定义项21
1001ZZ1LCP000001XG4X,自定义项22
1001ZZ1LCP000001XG4Y,自定义项23
1001ZZ1LCP000001XG4Z,自定义项24
1001ZZ1LCP000001XG50,自定义项25
1001ZZ1LCP000001XG51,自定义项26
1001ZZ1LCP000001XG52,自定义项27
1001ZZ1LCP000001XG53,自定义项28
1001ZZ1LCP000001XG54,自定义项29
1001ZZ1LCP000001XG55,自定义项30
1001ZZ1LCP000001XG56,制单时间
1001ZZ1LCP000001XG57,最后修改时间
1001ZZ1LCP000001XG58,组织多版本
1001ZZ1LCP000001XG59,创建人
1001ZZ1LCP000001XG5A,入库时间
1001ZZ1LCP000001XG5B,最后修改人
