PUB_QUERY_PROPERTY
pk_query_property,label
1001ZZ1LCP000001XG1B,pk_org
1001ZZ1LCP000001XG1C,code
1001ZZ1LCP000001XG1D,pk_group
1001ZZ1LCP000001XG1E,组织多版本
1001ZZ1LCP000001XG1F,制单时间
1001ZZ1LCP000001XG1G,最后修改时间
1001ZZ1LCP000001XG1H,创建人
1001ZZ1LCP000001XG1I,入库时间
1001ZZ1LCP000001XG1J,最后修改人
1001ZZ1LCP000001XG1K,最后修改时间1
1001ZZ1LCP000001XG1L,送货单条形码
1001ZZ1LCP000001XG1M,入库单号
1001ZZ1LCP000001XG1N,单据类型
1001ZZ1LCP000001XG1O,来源类别
1001ZZ1LCP000001XG1P,仓库
1001ZZ1LCP000001XG1Q,供应商
1001ZZ1LCP000001XG1R,采购员
1001ZZ1LCP000001XG1S,库管员
1001ZZ1LCP000001XG1T,自定义项1
1001ZZ1LCP000001XG1U,自定义项2
1001ZZ1LCP000001XG1V,自定义项3
1001ZZ1LCP000001XG1W,自定义项4
1001ZZ1LCP000001XG1X,自定义项5
1001ZZ1LCP000001XG1Y,自定义项6
1001ZZ1LCP000001XG1Z,自定义项7
1001ZZ1LCP000001XG20,自定义项8
1001ZZ1LCP000001XG21,自定义项9
1001ZZ1LCP000001XG22,自定义项10
1001ZZ1LCP000001XG23,自定义项11
1001ZZ1LCP000001XG24,自定义项12
1001ZZ1LCP000001XG25,自定义项13
1001ZZ1LCP000001XG26,自定义项14
1001ZZ1LCP000001XG27,自定义项15
1001ZZ1LCP000001XG28,自定义项16
1001ZZ1LCP000001XG29,自定义项17
1001ZZ1LCP000001XG2A,自定义项18
1001ZZ1LCP000001XG2B,自定义项19
1001ZZ1LCP000001XG2C,自定义项20
1001ZZ1LCP000001XG2D,自定义项21
1001ZZ1LCP000001XG2E,自定义项22
1001ZZ1LCP000001XG2F,自定义项23
1001ZZ1LCP000001XG2G,自定义项24
1001ZZ1LCP000001XG2H,自定义项25
1001ZZ1LCP000001XG2I,自定义项26
1001ZZ1LCP000001XG2J,自定义项27
1001ZZ1LCP000001XG2K,自定义项28
1001ZZ1LCP000001XG2L,自定义项29
1001ZZ1LCP000001XG2M,自定义项30
