PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000001DJ5Q,组织_集团
1001ZZ1LCP000001DJ5R,主键
1001ZZ1LCP000001DJ5S,组织
1001ZZ1LCP000001DJ5T,出库编码
1001ZZ1LCP000001DJ5U,发货单
1001ZZ1LCP000001DJ5V,出库单号
1001ZZ1LCP000001DJ5W,销售订单
1001ZZ1LCP000001DJ5X,出库人
1001ZZ1LCP000001DJ5Y,出库时间
1001ZZ1LCP000001DJ5Z,客户名称
1001ZZ1LCP000001DJ60,备注
1001ZZ1LCP000001DJ61,自定义项1
1001ZZ1LCP000001DJ62,自定义项2
1001ZZ1LCP000001DJ63,自定义项3
1001ZZ1LCP000001DJ64,自定义项4
1001ZZ1LCP000001DJ65,自定义项5
1001ZZ1LCP000001DJ66,自定义项6
1001ZZ1LCP000001DJ67,自定义项7
1001ZZ1LCP000001DJ68,自定义项8
1001ZZ1LCP000001DJ69,自定义项9
1001ZZ1LCP000001DJ6A,自定义项10
1001ZZ1LCP000001DJ6B,自定义项11
1001ZZ1LCP000001DJ6C,自定义项12
1001ZZ1LCP000001DJ6D,自定义项13
1001ZZ1LCP000001DJ6E,自定义项14
1001ZZ1LCP000001DJ6F,自定义项15
1001ZZ1LCP000001DJ6G,自定义项16
1001ZZ1LCP000001DQ4H,自定义项17
1001ZZ1LCP000001DQ4I,自定义项18
1001ZZ1LCP000001DQ4J,自定义项19
1001ZZ1LCP000001DQ4K,自定义项20
1001ZZ1LCP000001DQ4L,自定义项21
1001ZZ1LCP000001DQ4M,自定义项22
1001ZZ1LCP000001DQ4N,自定义项23
1001ZZ1LCP000001DQ4O,自定义项24
1001ZZ1LCP000001DQ4P,自定义项25
1001ZZ1LCP000001DQ4Q,自定义项26
1001ZZ1LCP000001DQ4R,自定义项27
1001ZZ1LCP000001DQ4S,自定义项28
1001ZZ1LCP000001DQ4T,自定义项29
1001ZZ1LCP000001DQ4U,自定义项30
1001ZZ1LCP000001DQ4V,制单时间
1001ZZ1LCP000001DQ4W,最后修改时间
1001ZZ1LCP000001DQ4X,组织多版本
1001ZZ1LCP000001DQ4Y,创建人
1001ZZ1LCP000001DQ4Z,创建时间
1001ZZ1LCP000001DQ50,最后修改人
1001ZZ1LCP000001DQ51,最后修改时间1
1001ZZ1LCP000001DQ52,组织_集团
1001ZZ1LCP000001DQ53,主键
1001ZZ1LCP000001DQ54,组织
1001ZZ1LCP000001DQ55,出库编码
1001ZZ1LCP000001DQ56,发货单
1001ZZ1LCP000001DQ57,出库单号
1001ZZ1LCP000001DQ58,销售订单
1001ZZ1LCP000001DQ59,出库人
1001ZZ1LCP000001DQ5A,出库时间
1001ZZ1LCP000001DQ5B,客户名称
1001ZZ1LCP000001DQ5C,备注
1001ZZ1LCP000001DQ5D,自定义项1
1001ZZ1LCP000001DQ5E,自定义项2
1001ZZ1LCP000001DQ5F,自定义项3
1001ZZ1LCP000001DQ5G,自定义项4
1001ZZ1LCP000001DQ5H,自定义项5
1001ZZ1LCP000001DQ5I,自定义项6
1001ZZ1LCP000001DQ5J,自定义项7
1001ZZ1LCP000001DQ5K,自定义项8
1001ZZ1LCP000001DQ5L,自定义项9
1001ZZ1LCP000001DQ5M,自定义项10
1001ZZ1LCP000001DQ5N,自定义项11
1001ZZ1LCP000001DQ5O,自定义项12
1001ZZ1LCP000001DQ5P,自定义项13
1001ZZ1LCP000001DQ5Q,自定义项14
1001ZZ1LCP000001DQ5R,自定义项15
1001ZZ1LCP000001DQ5S,自定义项16
1001ZZ1LCP000001DQ5T,自定义项17
1001ZZ1LCP000001DQ5U,自定义项18
1001ZZ1LCP000001DQ5V,自定义项19
1001ZZ1LCP000001DQ5W,自定义项20
1001ZZ1LCP000001DQ5X,自定义项21
1001ZZ1LCP000001DQ5Y,自定义项22
1001ZZ1LCP000001DQ5Z,自定义项23
1001ZZ1LCP000001DQ60,自定义项24
1001ZZ1LCP000001DQ61,自定义项25
1001ZZ1LCP000001DQ62,自定义项26
1001ZZ1LCP000001DQ63,自定义项27
1001ZZ1LCP000001DQ64,自定义项28
1001ZZ1LCP000001DQ65,自定义项29
1001ZZ1LCP000001DQ66,自定义项30
1001ZZ1LCP000001DQ67,制单时间
1001ZZ1LCP000001DQ68,最后修改时间
1001ZZ1LCP000001DQ69,组织多版本
1001ZZ1LCP000001DQ6A,创建人
1001ZZ1LCP000001DQ6B,创建时间
1001ZZ1LCP000001DQ6C,最后修改人
1001ZZ1LCP000001DQ6D,最后修改时间1
1001ZZ1LCP000001DQ6E,行号
1001ZZ1LCP000001DQ6F,主键
1001ZZ1LCP000001DQ6G,物料
1001ZZ1LCP000001DQ6H,料号
1001ZZ1LCP000001DQ6I,品名
1001ZZ1LCP000001DQ6J,规格
1001ZZ1LCP000001DQ6K,存储地点
1001ZZ1LCP000001DQ6L,存储地点
1001ZZ1LCP000001DQ6M,货位
1001ZZ1LCP000001DQ6N,发货单数量
1001ZZ1LCP000001DQ6O,实发数量
1001ZZ1LCP000001DQ6P,批次号
1001ZZ1LCP000001DQ6Q,批次号
1001ZZ1LCP000001DQ6R,自定义项16
1001ZZ1LCP000001DQ6S,自定义项17
1001ZZ1LCP000001DQ6T,自定义项18
1001ZZ1LCP000001DQ6U,自定义项19
1001ZZ1LCP000001DQ6V,自定义项20
1001ZZ1LCP000001DQ6W,自定义项21
1001ZZ1LCP000001DQ6X,自定义项22
1001ZZ1LCP000001DQ6Y,自定义项23
1001ZZ1LCP000001DQ6Z,自定义项24
1001ZZ1LCP000001DQ70,自定义项25
1001ZZ1LCP000001DQ71,自定义项26
1001ZZ1LCP000001DQ72,自定义项27
1001ZZ1LCP000001DQ73,自定义项28
1001ZZ1LCP000001DQ74,自定义项29
1001ZZ1LCP000001DQ75,自定义项30
1001ZZ1LCP000001DQ76,自定义项31
1001ZZ1LCP000001DQ77,自定义项32
1001ZZ1LCP000001DQ78,自定义项33
1001ZZ1LCP000001DQ79,自定义项34
1001ZZ1LCP000001DQ7A,自定义项35
1001ZZ1LCP000001DQ7B,自定义项36
