PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000001Z1XH,pk_group
1001ZZ1LCP000001Z1XI,组织
1001ZZ1LCP000001Z1XJ,主键
1001ZZ1LCP000001Z1XK,单据号
1001ZZ1LCP000001Z1XL,出库仓库
1001ZZ1LCP000001Z1XM,入库仓库
1001ZZ1LCP000001Z1XN,转库类型
1001ZZ1LCP000001Z1XO,出库业务员
1001ZZ1LCP000001Z1XP,出库部门
1001ZZ1LCP000001Z1XQ,入库业务员
1001ZZ1LCP000001Z1XR,入库部门
1001ZZ1LCP000001Z1XS,应发货日期
1001ZZ1LCP000001Z1XT,应到货日期
1001ZZ1LCP000001Z1XU,单据状态
1001ZZ1LCP000001Z1XV,自定义项1
1001ZZ1LCP000001Z1XW,自定义项2
1001ZZ1LCP000001Z1XX,自定义项3
1001ZZ1LCP000001Z1XY,自定义项4
1001ZZ1LCP000001Z1XZ,自定义项5
1001ZZ1LCP000001Z1Y0,自定义项6
1001ZZ1LCP000001Z1Y1,自定义项7
1001ZZ1LCP000001Z1Y2,自定义项8
1001ZZ1LCP000001Z1Y3,自定义项9
1001ZZ1LCP000001Z1Y4,自定义项10
1001ZZ1LCP000001Z1Y5,自定义项11
1001ZZ1LCP000001Z1Y6,自定义项12
1001ZZ1LCP000001Z1Y7,自定义项13
1001ZZ1LCP000001Z1Y8,自定义项14
1001ZZ1LCP000001Z1Y9,自定义项15
1001ZZ1LCP000001Z1YA,自定义项16
1001ZZ1LCP000001Z1YB,自定义项17
1001ZZ1LCP000001Z1YC,自定义项18
1001ZZ1LCP000001Z1YD,自定义项19
1001ZZ1LCP000001Z1YE,自定义项20
1001ZZ1LCP000001Z1YF,自定义项21
1001ZZ1LCP000001Z1YG,自定义项22
1001ZZ1LCP000001Z1YH,自定义项23
1001ZZ1LCP000001Z1YI,自定义项24
1001ZZ1LCP000001Z1YJ,自定义项25
1001ZZ1LCP000001Z1YK,自定义项26
1001ZZ1LCP000001Z1YL,自定义项27
1001ZZ1LCP000001Z1YM,自定义项28
1001ZZ1LCP000001Z1YN,自定义项29
1001ZZ1LCP000001Z1YO,自定义项30
1001ZZ1LCP000001Z1YP,制单时间
1001ZZ1LCP000001Z1YQ,最后修改时间
1001ZZ1LCP000001Z1YR,组织多版本
1001ZZ1LCP000001Z1YS,创建人
1001ZZ1LCP000001Z1YT,创建时间
1001ZZ1LCP000001Z1YU,最后修改人
1001ZZ1LCP000001Z1YV,最后修改时间1
1001ZZ1LCP000001Z1YW,pk_group
1001ZZ1LCP000001Z1YX,组织
1001ZZ1LCP000001Z1YY,主键
1001ZZ1LCP000001Z1YZ,单据号
1001ZZ1LCP000001Z1Z0,出库仓库
1001ZZ1LCP000001Z1Z1,入库仓库
1001ZZ1LCP000001Z1Z2,转库类型
1001ZZ1LCP000001Z1Z3,出库业务员
1001ZZ1LCP000001Z1Z4,出库部门
1001ZZ1LCP000001Z1Z5,入库业务员
1001ZZ1LCP000001Z1Z6,入库部门
1001ZZ1LCP000001Z1Z7,应发货日期
1001ZZ1LCP000001Z1Z8,应到货日期
1001ZZ1LCP000001Z1Z9,单据状态
1001ZZ1LCP000001Z1ZA,自定义项1
1001ZZ1LCP000001Z1ZB,自定义项2
1001ZZ1LCP000001Z1ZC,自定义项3
1001ZZ1LCP000001Z1ZD,自定义项4
1001ZZ1LCP000001Z1ZE,自定义项5
1001ZZ1LCP000001Z1ZF,自定义项6
1001ZZ1LCP000001Z1ZG,自定义项7
1001ZZ1LCP000001Z1ZH,自定义项8
1001ZZ1LCP000001Z1ZI,自定义项9
1001ZZ1LCP000001Z1ZJ,自定义项10
1001ZZ1LCP000001Z1ZK,自定义项11
1001ZZ1LCP000001Z1ZL,自定义项12
1001ZZ1LCP000001Z1ZM,自定义项13
1001ZZ1LCP000001Z1ZN,自定义项14
1001ZZ1LCP000001Z1ZO,自定义项15
1001ZZ1LCP000001Z1ZP,自定义项16
1001ZZ1LCP000001Z1ZQ,自定义项17
1001ZZ1LCP000001Z1ZR,自定义项18
1001ZZ1LCP000001Z1ZS,自定义项19
1001ZZ1LCP000001Z1ZT,自定义项20
1001ZZ1LCP000001Z1ZU,自定义项21
1001ZZ1LCP000001Z1ZV,自定义项22
1001ZZ1LCP000001Z1ZW,自定义项23
1001ZZ1LCP000001Z1ZX,自定义项24
1001ZZ1LCP000001Z1ZY,自定义项25
1001ZZ1LCP000001Z1ZZ,自定义项26
1001ZZ1LCP000001Z200,自定义项27
1001ZZ1LCP000001Z201,自定义项28
1001ZZ1LCP000001Z202,自定义项29
1001ZZ1LCP000001Z203,自定义项30
1001ZZ1LCP000001Z204,制单时间
1001ZZ1LCP000001Z205,最后修改时间
1001ZZ1LCP000001Z206,组织多版本
1001ZZ1LCP000001Z207,创建人
1001ZZ1LCP000001Z208,创建时间
1001ZZ1LCP000001Z209,最后修改人
1001ZZ1LCP000001Z20A,最后修改时间1
