PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000001ZHDE,pk_group
1001ZZ1LCP000001ZHDF,pk_org
1001ZZ1LCP000001ZHDG,主键
1001ZZ1LCP000001ZHDH,调拨出库单号
1001ZZ1LCP000001ZHDI,调拨申请单扫描框
1001ZZ1LCP000001ZHDJ,调拨申请单单号
1001ZZ1LCP000001ZHDK,调拨申请单id
1001ZZ1LCP000001ZHDL,出库人
1001ZZ1LCP000001ZHDM,出库时间
1001ZZ1LCP000001ZHDN,调出仓库id
1001ZZ1LCP000001ZHDO,自定义项1
1001ZZ1LCP000001ZHDP,自定义项2
1001ZZ1LCP000001ZHDQ,自定义项3
1001ZZ1LCP000001ZHDR,自定义项4
1001ZZ1LCP000001ZHDS,自定义项5
1001ZZ1LCP000001ZHDT,自定义项6
1001ZZ1LCP000001ZHDU,自定义项7
1001ZZ1LCP000001ZHDV,自定义项8
1001ZZ1LCP000001ZHDW,自定义项9
1001ZZ1LCP000001ZHDX,自定义项10
1001ZZ1LCP000001ZHDY,自定义项11
1001ZZ1LCP000001ZHDZ,自定义项12
1001ZZ1LCP000001ZHE0,自定义项13
1001ZZ1LCP000001ZHE1,自定义项14
1001ZZ1LCP000001ZHE2,自定义项15
1001ZZ1LCP000001ZHE3,自定义项16
1001ZZ1LCP000001ZHE4,自定义项17
1001ZZ1LCP000001ZHE5,自定义项18
1001ZZ1LCP000001ZHE6,自定义项19
1001ZZ1LCP000001ZHE7,自定义项20
1001ZZ1LCP000001ZHE8,自定义项21
1001ZZ1LCP000001ZHE9,自定义项22
1001ZZ1LCP000001ZHEA,自定义项23
1001ZZ1LCP000001ZHEB,自定义项24
1001ZZ1LCP000001ZHEC,自定义项25
1001ZZ1LCP000001ZHED,自定义项26
1001ZZ1LCP000001ZHEE,自定义项27
1001ZZ1LCP000001ZHEF,自定义项28
1001ZZ1LCP000001ZHEG,自定义项29
1001ZZ1LCP000001ZHEH,自定义项30
1001ZZ1LCP000001ZHEI,制单时间
1001ZZ1LCP000001ZHEJ,最后修改时间
1001ZZ1LCP000001ZHEK,组织多版本
1001ZZ1LCP000001ZHEL,创建人
1001ZZ1LCP000001ZHEM,创建时间
1001ZZ1LCP000001ZHEN,最后修改人
1001ZZ1LCP000001ZHEO,最后修改时间1
1001ZZ1LCP000001ZHEP,备注
1001ZZ1LCP000001ZHEQ,pk_group
1001ZZ1LCP000001ZHER,pk_org
1001ZZ1LCP000001ZHES,主键
1001ZZ1LCP000001ZHET,调拨出库单号
1001ZZ1LCP000001ZHEU,调拨申请单扫描框
1001ZZ1LCP000001ZHEV,调拨申请单单号
1001ZZ1LCP000001ZHEW,调拨申请单id
1001ZZ1LCP000001ZHEX,出库人
1001ZZ1LCP000001ZHEY,出库时间
1001ZZ1LCP000001ZHEZ,调出仓库id
1001ZZ1LCP000001ZHF0,自定义项1
1001ZZ1LCP000001ZHF1,自定义项2
1001ZZ1LCP000001ZHF2,自定义项3
1001ZZ1LCP000001ZHF3,自定义项4
1001ZZ1LCP000001ZHF4,自定义项5
1001ZZ1LCP000001ZHF5,自定义项6
1001ZZ1LCP000001ZHF6,自定义项7
1001ZZ1LCP000001ZHF7,自定义项8
1001ZZ1LCP000001ZHF8,自定义项9
1001ZZ1LCP000001ZHF9,自定义项10
1001ZZ1LCP000001ZHFA,自定义项11
1001ZZ1LCP000001ZHFB,自定义项12
1001ZZ1LCP000001ZHFC,自定义项13
1001ZZ1LCP000001ZHFD,自定义项14
1001ZZ1LCP000001ZHFE,自定义项15
1001ZZ1LCP000001ZHFF,自定义项16
1001ZZ1LCP000001ZHFG,自定义项17
1001ZZ1LCP000001ZHFH,自定义项18
1001ZZ1LCP000001ZHFI,自定义项19
1001ZZ1LCP000001ZHFJ,自定义项20
1001ZZ1LCP000001ZHFK,自定义项21
1001ZZ1LCP000001ZHFL,自定义项22
1001ZZ1LCP000001ZHFM,自定义项23
1001ZZ1LCP000001ZHFN,自定义项24
1001ZZ1LCP000001ZHFO,自定义项25
1001ZZ1LCP000001ZHFP,自定义项26
1001ZZ1LCP000001ZHFQ,自定义项27
1001ZZ1LCP000001ZHFR,自定义项28
1001ZZ1LCP000001ZHFS,自定义项29
1001ZZ1LCP000001ZHFT,自定义项30
1001ZZ1LCP000001ZHFU,制单时间
1001ZZ1LCP000001ZHFV,最后修改时间
1001ZZ1LCP000001ZHFW,组织多版本
1001ZZ1LCP000001ZHFX,备注
1001ZZ1LCP000001ZHFY,创建人
1001ZZ1LCP000001ZHFZ,创建时间
1001ZZ1LCP000001ZHG0,最后修改人
1001ZZ1LCP000001ZHG1,最后修改时间1
1001ZZ1LCP000001ZHG2,行号
1001ZZ1LCP000001ZHG3,自定义项28
1001ZZ1LCP000001ZHG4,自定义项29
1001ZZ1LCP000001ZHG5,自定义项30
1001ZZ1LCP000001ZHG6,主键
1001ZZ1LCP000001ZHG7,物料
1001ZZ1LCP000001ZHG8,规格
1001ZZ1LCP000001ZHG9,型号
1001ZZ1LCP000001ZHGA,调出货位
1001ZZ1LCP000001ZHGB,申请数量
1001ZZ1LCP000001ZHGC,调出数量
1001ZZ1LCP000001ZHGD,批次号
1001ZZ1LCP000001ZHGE,自定义项1
1001ZZ1LCP000001ZHGF,自定义项2
1001ZZ1LCP000001ZHGG,自定义项3
1001ZZ1LCP000001ZHGH,自定义项4
1001ZZ1LCP000001ZHGI,自定义项5
1001ZZ1LCP000001ZHGJ,自定义项6
1001ZZ1LCP000001ZHGK,自定义项7
1001ZZ1LCP000001ZHGL,自定义项8
1001ZZ1LCP000001ZHGM,自定义项9
1001ZZ1LCP000001ZHGN,自定义项10
1001ZZ1LCP000001ZHGO,自定义项11
1001ZZ1LCP000001ZHGP,自定义项12
1001ZZ1LCP000001ZHGQ,自定义项13
1001ZZ1LCP000001ZHGR,自定义项14
1001ZZ1LCP000001ZHGS,自定义项15
1001ZZ1LCP000001ZHGT,自定义项16
1001ZZ1LCP000001ZHGU,自定义项17
1001ZZ1LCP000001ZHGV,自定义项18
1001ZZ1LCP000001ZHGW,自定义项19
1001ZZ1LCP000001ZHGX,自定义项20
1001ZZ1LCP000001ZHGY,自定义项21
1001ZZ1LCP000001ZHGZ,自定义项22
1001ZZ1LCP000001ZHH0,自定义项23
1001ZZ1LCP000001ZHH1,自定义项24
1001ZZ1LCP000001ZHH2,自定义项25
1001ZZ1LCP000001ZHH3,自定义项26
1001ZZ1LCP000001ZHH4,自定义项27
1001ZZ1LCP000001ZHH5,来源行号
1001ZZ1LCP000001ZHH6,行号
1001ZZ1LCP000001ZHH7,自定义项28
1001ZZ1LCP000001ZHH8,自定义项29
1001ZZ1LCP000001ZHH9,自定义项30
1001ZZ1LCP000001ZHHA,主键
1001ZZ1LCP000001ZHHB,物料
1001ZZ1LCP000001ZHHC,规格
1001ZZ1LCP000001ZHHD,型号
1001ZZ1LCP000001ZHHE,调出货位
1001ZZ1LCP000001ZHHF,申请数量
1001ZZ1LCP000001ZHHG,调出数量
1001ZZ1LCP000001ZHHH,批次号
1001ZZ1LCP000001ZHHI,自定义项1
1001ZZ1LCP000001ZHHJ,自定义项2
1001ZZ1LCP000001ZHHK,自定义项3
1001ZZ1LCP000001ZHHL,自定义项4
1001ZZ1LCP000001ZHHM,自定义项5
1001ZZ1LCP000001ZHHN,自定义项6
1001ZZ1LCP000001ZHHO,自定义项7
1001ZZ1LCP000001ZHHP,自定义项8
1001ZZ1LCP000001ZHHQ,自定义项9
1001ZZ1LCP000001ZHHR,自定义项10
1001ZZ1LCP000001ZHHS,自定义项11
1001ZZ1LCP000001ZHHT,自定义项12
1001ZZ1LCP000001ZHHU,自定义项13
1001ZZ1LCP000001ZHHV,自定义项14
1001ZZ1LCP000001ZHHW,自定义项15
1001ZZ1LCP000001ZHHX,自定义项16
1001ZZ1LCP000001ZHHY,自定义项17
1001ZZ1LCP000001ZHHZ,自定义项18
1001ZZ1LCP000001ZHI0,自定义项19
1001ZZ1LCP000001ZHI1,自定义项20
1001ZZ1LCP000001ZHI2,自定义项21
1001ZZ1LCP000001ZHI3,自定义项22
1001ZZ1LCP000001ZHI4,自定义项23
1001ZZ1LCP000001ZHI5,自定义项24
1001ZZ1LCP000001ZHI6,自定义项25
1001ZZ1LCP000001ZHI7,自定义项26
1001ZZ1LCP000001ZHI8,自定义项27
1001ZZ1LCP000001ZHI9,来源行号
1001ZZ1LCP000001ZHIA,行号
1001ZZ1LCP000001ZHIB,自定义项28
1001ZZ1LCP000001ZHIC,自定义项29
1001ZZ1LCP000001ZHID,自定义项30
1001ZZ1LCP000001ZHIE,主键
1001ZZ1LCP000001ZHIF,物料
1001ZZ1LCP000001ZHIG,规格
1001ZZ1LCP000001ZHIH,型号
1001ZZ1LCP000001ZHII,调出货位
1001ZZ1LCP000001ZHIJ,申请数量
1001ZZ1LCP000001ZHIK,调出数量
1001ZZ1LCP000001ZHIL,批次号
1001ZZ1LCP000001ZHIM,自定义项1
1001ZZ1LCP000001ZHIN,自定义项2
1001ZZ1LCP000001ZHIO,自定义项3
1001ZZ1LCP000001ZHIP,自定义项4
1001ZZ1LCP000001ZHIQ,自定义项5
1001ZZ1LCP000001ZHIR,自定义项6
1001ZZ1LCP000001ZHIS,自定义项7
1001ZZ1LCP000001ZHIT,自定义项8
1001ZZ1LCP000001ZHIU,自定义项9
1001ZZ1LCP000001ZHIV,自定义项10
1001ZZ1LCP000001ZHIW,自定义项11
1001ZZ1LCP000001ZHIX,自定义项12
1001ZZ1LCP000001ZHIY,自定义项13
1001ZZ1LCP000001ZHIZ,自定义项14
1001ZZ1LCP000001ZHJ0,自定义项15
1001ZZ1LCP000001ZHJ1,自定义项16
1001ZZ1LCP000001ZHJ2,自定义项17
1001ZZ1LCP000001ZHJ3,自定义项18
1001ZZ1LCP000001ZHJ4,自定义项19
1001ZZ1LCP000001ZHJ5,自定义项20
1001ZZ1LCP000001ZHJ6,自定义项21
1001ZZ1LCP000001ZHJ7,自定义项22
1001ZZ1LCP000001ZHJ8,自定义项23
1001ZZ1LCP000001ZHJ9,自定义项24
1001ZZ1LCP000001ZHJA,自定义项25
1001ZZ1LCP000001ZHJB,自定义项26
1001ZZ1LCP000001ZHJC,自定义项27
1001ZZ1LCP000001ZHJD,来源行号
