PUB_QUERY_PROPERTY
pk_query_property,label
1001ZZ1LCP000001ZHC3,pk_org
1001ZZ1LCP000001ZHC4,调拨出库单号
1001ZZ1LCP000001ZHC5,pk_group
1001ZZ1LCP000001ZHC6,组织多版本
1001ZZ1LCP000001ZHC7,制单时间
1001ZZ1LCP000001ZHC8,最后修改时间
1001ZZ1LCP000001ZHC9,创建人
1001ZZ1LCP000001ZHCA,创建时间
1001ZZ1LCP000001ZHCB,最后修改人
1001ZZ1LCP000001ZHCC,最后修改时间1
1001ZZ1LCP000001ZHCD,调拨申请单扫描框
1001ZZ1LCP000001ZHCE,调拨申请单单号
1001ZZ1LCP000001ZHCF,调拨申请单id
1001ZZ1LCP000001ZHCG,出库人
1001ZZ1LCP000001ZHCH,出库时间
1001ZZ1LCP000001ZHCI,调出仓库id
1001ZZ1LCP000001ZHCJ,备注
1001ZZ1LCP000001ZHCK,自定义项1
1001ZZ1LCP000001ZHCL,自定义项2
1001ZZ1LCP000001ZHCM,自定义项3
1001ZZ1LCP000001ZHCN,自定义项4
1001ZZ1LCP000001ZHCO,自定义项5
1001ZZ1LCP000001ZHCP,自定义项6
1001ZZ1LCP000001ZHCQ,自定义项7
1001ZZ1LCP000001ZHCR,自定义项8
1001ZZ1LCP000001ZHCS,自定义项9
1001ZZ1LCP000001ZHCT,自定义项10
1001ZZ1LCP000001ZHCU,自定义项11
1001ZZ1LCP000001ZHCV,自定义项12
1001ZZ1LCP000001ZHCW,自定义项13
1001ZZ1LCP000001ZHCX,自定义项14
1001ZZ1LCP000001ZHCY,自定义项15
1001ZZ1LCP000001ZHCZ,自定义项16
1001ZZ1LCP000001ZHD0,自定义项17
1001ZZ1LCP000001ZHD1,自定义项18
1001ZZ1LCP000001ZHD2,自定义项19
1001ZZ1LCP000001ZHD3,自定义项20
1001ZZ1LCP000001ZHD4,自定义项21
1001ZZ1LCP000001ZHD5,自定义项22
1001ZZ1LCP000001ZHD6,自定义项23
1001ZZ1LCP000001ZHD7,自定义项24
1001ZZ1LCP000001ZHD8,自定义项25
1001ZZ1LCP000001ZHD9,自定义项26
1001ZZ1LCP000001ZHDA,自定义项27
1001ZZ1LCP000001ZHDB,自定义项28
1001ZZ1LCP000001ZHDC,自定义项29
1001ZZ1LCP000001ZHDD,自定义项30
