PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP0000029ZT9,pk_group
1001A11LCP0000029ZTA,pk_org
1001A11LCP0000029ZTB,主键
1001A11LCP0000029ZTC,code
1001A11LCP0000029ZTD,调拨申请单扫描框
1001A11LCP0000029ZTE,调拨申请单单号
1001A11LCP0000029ZTF,调拨申请单id
1001A11LCP0000029ZTG,入库人
1001A11LCP0000029ZTH,入库时间
1001A11LCP0000029ZTI,入库仓库
1001A11LCP0000029ZTJ,自定义项1
1001A11LCP0000029ZTK,自定义项2
1001A11LCP0000029ZTL,自定义项3
1001A11LCP0000029ZTM,自定义项4
1001A11LCP0000029ZTN,自定义项5
1001A11LCP0000029ZTO,自定义项6
1001A11LCP0000029ZTP,自定义项7
1001A11LCP0000029ZTQ,自定义项8
1001A11LCP0000029ZTR,自定义项9
1001A11LCP0000029ZTS,自定义项10
1001A11LCP0000029ZTT,自定义项11
1001A11LCP0000029ZTU,自定义项12
1001A11LCP0000029ZTV,自定义项13
1001A11LCP0000029ZTW,自定义项14
1001A11LCP0000029ZTX,自定义项15
1001A11LCP0000029ZTY,自定义项16
1001A11LCP0000029ZTZ,自定义项17
1001A11LCP0000029ZU0,自定义项18
1001A11LCP0000029ZU1,自定义项19
1001A11LCP0000029ZU2,自定义项20
1001A11LCP0000029ZU3,自定义项21
1001A11LCP0000029ZU4,自定义项22
1001A11LCP0000029ZU5,自定义项23
1001A11LCP0000029ZU6,自定义项24
1001A11LCP0000029ZU7,自定义项25
1001A11LCP0000029ZU8,自定义项26
1001A11LCP0000029ZU9,自定义项27
1001A11LCP0000029ZUA,自定义项28
1001A11LCP0000029ZUB,自定义项29
1001A11LCP0000029ZUC,自定义项30
1001A11LCP0000029ZUD,制单时间
1001A11LCP0000029ZUE,最后修改时间
1001A11LCP0000029ZUF,组织多版本
1001A11LCP0000029ZUG,创建人
1001A11LCP0000029ZUH,创建时间
1001A11LCP0000029ZUI,最后修改人
1001A11LCP0000029ZUJ,最后修改时间1
1001A11LCP0000029ZUK,备注
1001A11LCP0000029ZUL,pk_group
1001A11LCP0000029ZUM,pk_org
1001A11LCP0000029ZUN,主键
1001A11LCP0000029ZUO,code
1001A11LCP0000029ZUP,调拨申请单扫描框
1001A11LCP0000029ZUQ,调拨申请单单号
1001A11LCP0000029ZUR,调拨申请单id
1001A11LCP0000029ZUS,入库人
1001A11LCP0000029ZUT,入库时间
1001A11LCP0000029ZUU,入库仓库
1001A11LCP0000029ZUV,自定义项1
1001A11LCP0000029ZUW,自定义项2
1001A11LCP0000029ZUX,自定义项3
1001A11LCP0000029ZUY,自定义项4
1001A11LCP0000029ZUZ,自定义项5
1001A11LCP0000029ZV0,自定义项6
1001A11LCP0000029ZV1,自定义项7
1001A11LCP0000029ZV2,自定义项8
1001A11LCP0000029ZV3,自定义项9
1001A11LCP0000029ZV4,自定义项10
1001A11LCP0000029ZV5,自定义项11
1001A11LCP0000029ZV6,自定义项12
1001A11LCP0000029ZV7,自定义项13
1001A11LCP0000029ZV8,自定义项14
1001A11LCP0000029ZV9,自定义项15
1001A11LCP0000029ZVA,自定义项16
1001A11LCP0000029ZVB,自定义项17
1001A11LCP0000029ZVC,自定义项18
1001A11LCP0000029ZVD,自定义项19
1001A11LCP0000029ZVE,自定义项20
1001A11LCP0000029ZVF,自定义项21
1001A11LCP0000029ZVG,自定义项22
1001A11LCP0000029ZVH,自定义项23
1001A11LCP0000029ZVI,自定义项24
1001A11LCP0000029ZVJ,自定义项25
1001A11LCP0000029ZVK,自定义项26
1001A11LCP0000029ZVL,自定义项27
1001A11LCP0000029ZVM,自定义项28
1001A11LCP0000029ZVN,自定义项29
1001A11LCP0000029ZVO,自定义项30
1001A11LCP0000029ZVP,制单时间
1001A11LCP0000029ZVQ,最后修改时间
1001A11LCP0000029ZVR,组织多版本
1001A11LCP0000029ZVS,备注
1001A11LCP0000029ZVT,创建人
1001A11LCP0000029ZVU,创建时间
1001A11LCP0000029ZVV,最后修改人
1001A11LCP0000029ZVW,最后修改时间1
1001A11LCP0000029ZVX,行号
1001A11LCP0000029ZVY,主键
1001A11LCP0000029ZVZ,物料
1001A11LCP0000029ZW0,规格
1001A11LCP0000029ZW1,型号
1001A11LCP0000029ZW2,调入货位
