PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP0000029ZRY,pk_org
1001A11LCP0000029ZRZ,code
1001A11LCP0000029ZS0,pk_group
1001A11LCP0000029ZS1,组织多版本
1001A11LCP0000029ZS2,制单时间
1001A11LCP0000029ZS3,最后修改时间
1001A11LCP0000029ZS4,创建人
1001A11LCP0000029ZS5,创建时间
1001A11LCP0000029ZS6,最后修改人
1001A11LCP0000029ZS7,最后修改时间1
1001A11LCP0000029ZS8,调拨申请单扫描框
1001A11LCP0000029ZS9,调拨申请单单号
1001A11LCP0000029ZSA,调拨申请单id
1001A11LCP0000029ZSB,入库人
1001A11LCP0000029ZSC,入库时间
1001A11LCP0000029ZSD,入库仓库
1001A11LCP0000029ZSE,备注
1001A11LCP0000029ZSF,自定义项1
1001A11LCP0000029ZSG,自定义项2
1001A11LCP0000029ZSH,自定义项3
1001A11LCP0000029ZSI,自定义项4
1001A11LCP0000029ZSJ,自定义项5
1001A11LCP0000029ZSK,自定义项6
1001A11LCP0000029ZSL,自定义项7
1001A11LCP0000029ZSM,自定义项8
1001A11LCP0000029ZSN,自定义项9
1001A11LCP0000029ZSO,自定义项10
1001A11LCP0000029ZSP,自定义项11
1001A11LCP0000029ZSQ,自定义项12
1001A11LCP0000029ZSR,自定义项13
1001A11LCP0000029ZSS,自定义项14
1001A11LCP0000029ZST,自定义项15
1001A11LCP0000029ZSU,自定义项16
1001A11LCP0000029ZSV,自定义项17
1001A11LCP0000029ZSW,自定义项18
1001A11LCP0000029ZSX,自定义项19
1001A11LCP0000029ZSY,自定义项20
1001A11LCP0000029ZSZ,自定义项21
1001A11LCP0000029ZT0,自定义项22
1001A11LCP0000029ZT1,自定义项23
1001A11LCP0000029ZT2,自定义项24
1001A11LCP0000029ZT3,自定义项25
1001A11LCP0000029ZT4,自定义项26
1001A11LCP0000029ZT5,自定义项27
1001A11LCP0000029ZT6,自定义项28
1001A11LCP0000029ZT7,自定义项29
1001A11LCP0000029ZT8,自定义项30
