PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002ETAG,pk_group
1001A11LCP000002ETAH,pk_org
1001A11LCP000002ETAI,主键
1001A11LCP000002ETAJ,code
1001A11LCP000002ETAK,调拨申请单据号
1001A11LCP000002ETAL,申请部门
1001A11LCP000002ETAM,申请人
1001A11LCP000002ETAN,申请时间
1001A11LCP000002ETAO,自定义项1
1001A11LCP000002ETAP,自定义项2
1001A11LCP000002ETAQ,自定义项3
1001A11LCP000002ETAR,自定义项4
1001A11LCP000002ETAS,自定义项5
1001A11LCP000002ETAT,自定义项6
1001A11LCP000002ETAU,自定义项7
1001A11LCP000002ETAV,自定义项8
1001A11LCP000002ETAW,自定义项9
1001A11LCP000002ETAX,自定义项10
1001A11LCP000002ETAY,自定义项11
1001A11LCP000002ETAZ,自定义项12
1001A11LCP000002ETB0,自定义项13
1001A11LCP000002ETB1,自定义项14
1001A11LCP000002ETB2,自定义项15
1001A11LCP000002ETB3,自定义项16
1001A11LCP000002ETB4,自定义项17
1001A11LCP000002ETB5,自定义项18
1001A11LCP000002ETB6,自定义项19
1001A11LCP000002ETB7,自定义项20
1001A11LCP000002ETB8,自定义项21
1001A11LCP000002ETB9,自定义项22
1001A11LCP000002ETBA,自定义项23
1001A11LCP000002ETBB,自定义项24
1001A11LCP000002ETBC,自定义项25
1001A11LCP000002ETBD,自定义项26
1001A11LCP000002ETBE,自定义项27
1001A11LCP000002ETBF,自定义项28
1001A11LCP000002ETBG,自定义项29
1001A11LCP000002ETBH,自定义项30
1001A11LCP000002ETBI,制单时间
1001A11LCP000002ETBJ,最后修改时间
1001A11LCP000002ETBK,组织多版本
1001A11LCP000002ETBL,创建人
1001A11LCP000002ETBM,创建时间
1001A11LCP000002ETBN,最后修改人
1001A11LCP000002ETBO,最后修改时间1
1001A11LCP000002ETBP,备注
1001A11LCP000002ETBQ,pk_group
1001A11LCP000002ETBR,pk_org
1001A11LCP000002ETBS,主键
1001A11LCP000002ETBT,code
1001A11LCP000002ETBU,调拨申请单据号
1001A11LCP000002ETBV,申请部门
1001A11LCP000002ETBW,申请人
1001A11LCP000002ETBX,申请时间
1001A11LCP000002ETBY,自定义项1
1001A11LCP000002ETBZ,自定义项2
1001A11LCP000002ETC0,自定义项3
1001A11LCP000002ETC1,自定义项4
1001A11LCP000002ETC2,自定义项5
1001A11LCP000002ETC3,自定义项6
1001A11LCP000002ETC4,自定义项7
1001A11LCP000002ETC5,自定义项8
1001A11LCP000002ETC6,自定义项9
1001A11LCP000002ETC7,自定义项10
1001A11LCP000002ETC8,自定义项11
1001A11LCP000002ETC9,自定义项12
1001A11LCP000002ETCA,自定义项13
1001A11LCP000002ETCB,自定义项14
1001A11LCP000002ETCC,自定义项15
1001A11LCP000002ETCD,自定义项16
1001A11LCP000002ETCE,自定义项17
1001A11LCP000002ETCF,自定义项18
1001A11LCP000002ETCG,自定义项19
1001A11LCP000002ETCH,自定义项20
1001A11LCP000002ETCI,自定义项21
1001A11LCP000002ETCJ,自定义项22
1001A11LCP000002ETCK,自定义项23
1001A11LCP000002ETCL,自定义项24
1001A11LCP000002ETCM,自定义项25
1001A11LCP000002ETCN,自定义项26
1001A11LCP000002ETCO,自定义项27
1001A11LCP000002ETCP,自定义项28
1001A11LCP000002ETCQ,自定义项29
1001A11LCP000002ETCR,自定义项30
1001A11LCP000002ETCS,制单时间
1001A11LCP000002ETCT,最后修改时间
1001A11LCP000002ETCU,组织多版本
1001A11LCP000002ETCV,备注
1001A11LCP000002ETCW,创建人
1001A11LCP000002ETCX,创建时间
1001A11LCP000002ETCY,最后修改人
1001A11LCP000002ETCZ,最后修改时间1
1001A11LCP000002ETD0,行号
1001A11LCP000002ETD1,主键
1001A11LCP000002ETD2,物料
1001A11LCP000002ETD3,型号
1001A11LCP000002ETD4,规格
1001A11LCP000002ETD5,图号
1001A11LCP000002ETD6,计量单位
1001A11LCP000002ETD7,申请数量
