PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002ET97,pk_org
1001A11LCP000002ET98,code
1001A11LCP000002ET99,pk_group
1001A11LCP000002ET9A,组织多版本
1001A11LCP000002ET9B,制单时间
1001A11LCP000002ET9C,最后修改时间
1001A11LCP000002ET9D,创建人
1001A11LCP000002ET9E,创建时间
1001A11LCP000002ET9F,最后修改人
1001A11LCP000002ET9G,最后修改时间1
1001A11LCP000002ET9H,调拨申请单据号
1001A11LCP000002ET9I,申请部门
1001A11LCP000002ET9J,申请人
1001A11LCP000002ET9K,申请时间
1001A11LCP000002ET9L,备注
1001A11LCP000002ET9M,自定义项1
1001A11LCP000002ET9N,自定义项2
1001A11LCP000002ET9O,自定义项3
1001A11LCP000002ET9P,自定义项4
1001A11LCP000002ET9Q,自定义项5
1001A11LCP000002ET9R,自定义项6
1001A11LCP000002ET9S,自定义项7
1001A11LCP000002ET9T,自定义项8
1001A11LCP000002ET9U,自定义项9
1001A11LCP000002ET9V,自定义项10
1001A11LCP000002ET9W,自定义项11
1001A11LCP000002ET9X,自定义项12
1001A11LCP000002ET9Y,自定义项13
1001A11LCP000002ET9Z,自定义项14
1001A11LCP000002ETA0,自定义项15
1001A11LCP000002ETA1,自定义项16
1001A11LCP000002ETA2,自定义项17
1001A11LCP000002ETA3,自定义项18
1001A11LCP000002ETA4,自定义项19
1001A11LCP000002ETA5,自定义项20
1001A11LCP000002ETA6,自定义项21
1001A11LCP000002ETA7,自定义项22
1001A11LCP000002ETA8,自定义项23
1001A11LCP000002ETA9,自定义项24
1001A11LCP000002ETAA,自定义项25
1001A11LCP000002ETAB,自定义项26
1001A11LCP000002ETAC,自定义项27
1001A11LCP000002ETAD,自定义项28
1001A11LCP000002ETAE,自定义项29
1001A11LCP000002ETAF,自定义项30
