PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002UCI2,行号
1001A11LCP000002UCI3,pk_group
1001A11LCP000002UCI4,主键
1001A11LCP000002UCI5,组织
1001A11LCP000002UCI6,code
1001A11LCP000002UCI7,扫描工艺进程单条码
1001A11LCP000002UCI8,订单号
1001A11LCP000002UCI9,计划令号
1001A11LCP000002UCIA,任务代码
1001A11LCP000002UCIB,技术文件编码
1001A11LCP000002UCIC,项目批号
1001A11LCP000002UCID,产品型号
1001A11LCP000002UCIE,生产批次
1001A11LCP000002UCIF,物料号
1001A11LCP000002UCIG,名称图号
1001A11LCP000002UCIH,源订单号
1001A11LCP000002UCII,数量
1001A11LCP000002UCIJ,来源说明
1001A11LCP000002UCIK,改制源订单
1001A11LCP000002UCIL,是否关键件
1001A11LCP000002UCIM,实际材料
1001A11LCP000002UCIN,化验单号
1001A11LCP000002UCIO,加工数量
1001A11LCP000002UCIP,计划完成时间
1001A11LCP000002UCIQ,代料单号
1001A11LCP000002UCIR,设计材料
1001A11LCP000002UCIS,合格证号
1001A11LCP000002UCIT,当前炉批号/件号
1001A11LCP000002UCIU,生产订单号
1001A11LCP000002UCIV,是否已拆分
1001A11LCP000002UCIW,当前工序说明
1001A11LCP000002UCIX,检验标识
1001A11LCP000002UCIY,部门
1001A11LCP000002UCIZ,工作中心
1001A11LCP000002UCJ0,准备工时
1001A11LCP000002UCJ1,加工工时
1001A11LCP000002UCJ2,备注
1001A11LCP000002UCJ3,自定义项1
1001A11LCP000002UCJ4,自定义项2
1001A11LCP000002UCJ5,自定义项3
1001A11LCP000002UCJ6,自定义项4
1001A11LCP000002UCJ7,自定义项5
1001A11LCP000002UCJ8,自定义项6
1001A11LCP000002UCJ9,自定义项7
1001A11LCP000002UCJA,自定义项8
1001A11LCP000002UCJB,自定义项9
1001A11LCP000002UCJC,自定义项10
1001A11LCP000002UCJD,自定义项11
1001A11LCP000002UCJE,自定义项12
1001A11LCP000002UCJF,自定义项13
1001A11LCP000002UCJG,自定义项14
1001A11LCP000002UCJH,自定义项15
1001A11LCP000002UCJI,自定义项16
1001A11LCP000002UCJJ,自定义项17
1001A11LCP000002UCJK,自定义项18
1001A11LCP000002UCJL,自定义项19
1001A11LCP000002UCJM,自定义项20
1001A11LCP000002UCJN,自定义项21
1001A11LCP000002UCJO,自定义项22
1001A11LCP000002UCJP,自定义项23
1001A11LCP000002UCJQ,自定义项24
1001A11LCP000002UCJR,自定义项25
1001A11LCP000002UCJS,自定义项26
1001A11LCP000002UCJT,自定义项27
1001A11LCP000002UCJU,自定义项28
1001A11LCP000002UCJV,自定义项29
1001A11LCP000002UCJW,自定义项30
1001A11LCP000002UCJX,制单时间
1001A11LCP000002UCJY,最后修改时间
1001A11LCP000002UCJZ,来源行号
1001A11LCP000002UCK0,组织多版本
1001A11LCP000002UCK1,创建人
1001A11LCP000002UCK2,创建时间
1001A11LCP000002UCK3,最后修改人
1001A11LCP000002UCK4,最后修改时间1
1001A11LCP000002UCK5,行号
1001A11LCP000002UCK6,pk_group
1001A11LCP000002UCK7,主键
1001A11LCP000002UCK8,组织
1001A11LCP000002UCK9,code
1001A11LCP000002UCKA,扫描工艺进程单条码
1001A11LCP000002UCKB,订单号
1001A11LCP000002UCKC,计划令号
1001A11LCP000002UCKD,任务代码
1001A11LCP000002UCKE,技术文件编码
1001A11LCP000002UCKF,项目批号
1001A11LCP000002UCKG,产品型号
1001A11LCP000002UCKH,生产批次
1001A11LCP000002UCKI,物料号
1001A11LCP000002UCKJ,名称图号
1001A11LCP000002UCKK,源订单号
1001A11LCP000002UCKL,数量
1001A11LCP000002UCKM,来源说明
1001A11LCP000002UCKN,改制源订单
1001A11LCP000002UCKO,是否关键件
1001A11LCP000002UCKP,实际材料
1001A11LCP000002UCKQ,化验单号
1001A11LCP000002UCKR,加工数量
1001A11LCP000002UCKS,计划完成时间
1001A11LCP000002UCKT,代料单号
1001A11LCP000002UCKU,设计材料
1001A11LCP000002UCKV,合格证号
1001A11LCP000002UCKW,当前炉批号/件号
1001A11LCP000002UCKX,生产订单号
1001A11LCP000002UCKY,是否已拆分
1001A11LCP000002UCKZ,当前工序说明
1001A11LCP000002UCL0,检验标识
1001A11LCP000002UCL1,部门
1001A11LCP000002UCL2,工作中心
1001A11LCP000002UCL3,准备工时
1001A11LCP000002UCL4,加工工时
1001A11LCP000002UCL5,备注
1001A11LCP000002UCL6,自定义项1
1001A11LCP000002UCL7,自定义项2
1001A11LCP000002UCL8,自定义项3
1001A11LCP000002UCL9,自定义项4
1001A11LCP000002UCLA,自定义项5
1001A11LCP000002UCLB,自定义项6
1001A11LCP000002UCLC,自定义项7
1001A11LCP000002UCLD,自定义项8
1001A11LCP000002UCLE,自定义项9
1001A11LCP000002UCLF,自定义项10
1001A11LCP000002UCLG,自定义项11
1001A11LCP000002UCLH,自定义项12
1001A11LCP000002UCLI,自定义项13
1001A11LCP000002UCLJ,自定义项14
1001A11LCP000002UCLK,自定义项15
1001A11LCP000002UCLL,自定义项16
1001A11LCP000002UCLM,自定义项17
1001A11LCP000002UCLN,自定义项18
1001A11LCP000002UCLO,自定义项19
1001A11LCP000002UCLP,自定义项20
1001A11LCP000002UCLQ,自定义项21
1001A11LCP000002UCLR,自定义项22
1001A11LCP000002UCLS,自定义项23
1001A11LCP000002UCLT,自定义项24
1001A11LCP000002UCLU,自定义项25
1001A11LCP000002UCLV,自定义项26
1001A11LCP000002UCLW,自定义项27
1001A11LCP000002UCLX,自定义项28
1001A11LCP000002UCLY,自定义项29
1001A11LCP000002UCLZ,自定义项30
1001A11LCP000002UCM0,制单时间
1001A11LCP000002UCM1,最后修改时间
1001A11LCP000002UCM2,来源行号
1001A11LCP000002UCM3,组织多版本
1001A11LCP000002UCM4,创建人
1001A11LCP000002UCM5,创建时间
1001A11LCP000002UCM6,最后修改人
1001A11LCP000002UCM7,最后修改时间1
