PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002UCG0,组织
1001A11LCP000002UCG1,code
1001A11LCP000002UCG2,pk_group
1001A11LCP000002UCG3,组织多版本
1001A11LCP000002UCG4,制单时间
1001A11LCP000002UCG5,最后修改时间
1001A11LCP000002UCG6,创建人
1001A11LCP000002UCG7,创建时间
1001A11LCP000002UCG8,最后修改人
1001A11LCP000002UCG9,最后修改时间1
1001A11LCP000002UCGA,行号
1001A11LCP000002UCGB,来源行号
1001A11LCP000002UCGC,扫描工艺进程单条码
1001A11LCP000002UCGD,订单号
1001A11LCP000002UCGE,计划令号
1001A11LCP000002UCGF,任务代码
1001A11LCP000002UCGG,技术文件编码
1001A11LCP000002UCGH,项目批号
1001A11LCP000002UCGI,产品型号
1001A11LCP000002UCGJ,生产批次
1001A11LCP000002UCGK,物料号
1001A11LCP000002UCGL,名称图号
1001A11LCP000002UCGM,源订单号
1001A11LCP000002UCGN,数量
1001A11LCP000002UCGO,来源说明
1001A11LCP000002UCGP,改制源订单
1001A11LCP000002UCGQ,是否关键件
1001A11LCP000002UCGR,实际材料
1001A11LCP000002UCGS,化验单号
1001A11LCP000002UCGT,加工数量
1001A11LCP000002UCGU,计划完成时间
1001A11LCP000002UCGV,代料单号
1001A11LCP000002UCGW,设计材料
1001A11LCP000002UCGX,合格证号
1001A11LCP000002UCGY,当前炉批号/件号
1001A11LCP000002UCGZ,生产订单号
1001A11LCP000002UCH0,是否已拆分
1001A11LCP000002UCH1,当前工序说明
1001A11LCP000002UCH2,检验标识
1001A11LCP000002UCH3,部门
1001A11LCP000002UCH4,工作中心
1001A11LCP000002UCH5,准备工时
1001A11LCP000002UCH6,加工工时
1001A11LCP000002UCH7,备注
1001A11LCP000002UCH8,自定义项1
1001A11LCP000002UCH9,自定义项2
1001A11LCP000002UCHA,自定义项3
1001A11LCP000002UCHB,自定义项4
1001A11LCP000002UCHC,自定义项5
1001A11LCP000002UCHD,自定义项6
1001A11LCP000002UCHE,自定义项7
1001A11LCP000002UCHF,自定义项8
1001A11LCP000002UCHG,自定义项9
1001A11LCP000002UCHH,自定义项10
1001A11LCP000002UCHI,自定义项11
1001A11LCP000002UCHJ,自定义项12
1001A11LCP000002UCHK,自定义项13
1001A11LCP000002UCHL,自定义项14
1001A11LCP000002UCHM,自定义项15
1001A11LCP000002UCHN,自定义项16
1001A11LCP000002UCHO,自定义项17
1001A11LCP000002UCHP,自定义项18
1001A11LCP000002UCHQ,自定义项19
1001A11LCP000002UCHR,自定义项20
1001A11LCP000002UCHS,自定义项21
1001A11LCP000002UCHT,自定义项22
1001A11LCP000002UCHU,自定义项23
1001A11LCP000002UCHV,自定义项24
1001A11LCP000002UCHW,自定义项25
1001A11LCP000002UCHX,自定义项26
1001A11LCP000002UCHY,自定义项27
1001A11LCP000002UCHZ,自定义项28
1001A11LCP000002UCI0,自定义项29
1001A11LCP000002UCI1,自定义项30
