PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002TX2U,行号
1001A11LCP000002TX2V,pk_group
1001A11LCP000002TX2W,主键
1001A11LCP000002TX2X,pk_org
1001A11LCP000002TX2Y,转移单号
1001A11LCP000002TX2Z,工艺进程单条码
1001A11LCP000002TX30,生产订单号
1001A11LCP000002TX31,物料
1001A11LCP000002TX32,料号
1001A11LCP000002TX33,品名
1001A11LCP000002TX34,图号
1001A11LCP000002TX35,单位
1001A11LCP000002TX36,批次号
1001A11LCP000002TX37,转出数量
1001A11LCP000002TX38,实收数量
1001A11LCP000002TX39,存放位置
1001A11LCP000002TX3A,代用材料牌号
1001A11LCP000002TX3B,型号
1001A11LCP000002TX3C,转出单位
1001A11LCP000002TX3D,转出人
1001A11LCP000002TX3E,转入单位
1001A11LCP000002TX3F,接收人
1001A11LCP000002TX3G,工艺进程单号
1001A11LCP000002TX3H,确认时间
1001A11LCP000002TX3I,转移工序
1001A11LCP000002TX3J,下道工序
1001A11LCP000002TX3K,自定义项1
1001A11LCP000002TX3L,自定义项2
1001A11LCP000002TX3M,自定义项3
1001A11LCP000002TX3N,自定义项4
1001A11LCP000002TX3O,自定义项5
1001A11LCP000002TX3P,自定义项6
1001A11LCP000002TX3Q,自定义项7
1001A11LCP000002TX3R,自定义项8
1001A11LCP000002TX3S,自定义项9
1001A11LCP000002TX3T,自定义项10
1001A11LCP000002TX3U,自定义项11
1001A11LCP000002TX3V,自定义项12
1001A11LCP000002TX3W,自定义项13
1001A11LCP000002TX3X,自定义项14
1001A11LCP000002TX3Y,自定义项15
1001A11LCP000002TX3Z,自定义项16
1001A11LCP000002TX40,自定义项17
1001A11LCP000002TX41,自定义项18
1001A11LCP000002TX42,自定义项19
1001A11LCP000002TX43,自定义项20
1001A11LCP000002TX44,自定义项21
1001A11LCP000002TX45,自定义项22
1001A11LCP000002TX46,自定义项23
1001A11LCP000002TX47,自定义项24
1001A11LCP000002TX48,自定义项25
1001A11LCP000002TX49,自定义项26
1001A11LCP000002TX4A,自定义项27
1001A11LCP000002TX4B,自定义项28
1001A11LCP000002TX4C,自定义项29
1001A11LCP000002TX4D,自定义项30
1001A11LCP000002TX4E,制单时间
1001A11LCP000002TX4F,最后修改时间
1001A11LCP000002TX4G,来源行号
1001A11LCP000002TX4H,组织多版本
1001A11LCP000002TX4I,创建人
1001A11LCP000002TX4J,创建时间
1001A11LCP000002TX4K,最后修改人
1001A11LCP000002TX4L,最后修改时间1
1001A11LCP000002TX4M,行号
1001A11LCP000002TX4N,pk_group
1001A11LCP000002TX4O,主键
1001A11LCP000002TX4P,pk_org
1001A11LCP000002TX4Q,转移单号
1001A11LCP000002TX4R,工艺进程单条码
1001A11LCP000002TX4S,生产订单号
1001A11LCP000002TX4T,物料
1001A11LCP000002TX4U,料号
1001A11LCP000002TX4V,品名
1001A11LCP000002TX4W,图号
1001A11LCP000002TX4X,单位
1001A11LCP000002TX4Y,批次号
1001A11LCP000002TX4Z,转出数量
1001A11LCP000002TX50,实收数量
1001A11LCP000002TX51,存放位置
1001A11LCP000002TX52,代用材料牌号
1001A11LCP000002TX53,型号
1001A11LCP000002TX54,转出单位
1001A11LCP000002TX55,转出人
1001A11LCP000002TX56,转入单位
1001A11LCP000002TX57,接收人
1001A11LCP000002TX58,工艺进程单号
1001A11LCP000002TX59,确认时间
1001A11LCP000002TX5A,转移工序
1001A11LCP000002TX5B,下道工序
1001A11LCP000002TX5C,自定义项1
1001A11LCP000002TX5D,自定义项2
1001A11LCP000002TX5E,自定义项3
1001A11LCP000002TX5F,自定义项4
1001A11LCP000002TX5G,自定义项5
1001A11LCP000002TX5H,自定义项6
1001A11LCP000002TX5I,自定义项7
1001A11LCP000002TX5J,自定义项8
1001A11LCP000002TX5K,自定义项9
1001A11LCP000002TX5L,自定义项10
1001A11LCP000002TX5M,自定义项11
1001A11LCP000002TX5N,自定义项12
1001A11LCP000002TX5O,自定义项13
1001A11LCP000002TX5P,自定义项14
1001A11LCP000002TX5Q,自定义项15
1001A11LCP000002TX5R,自定义项16
1001A11LCP000002TX5S,自定义项17
1001A11LCP000002TX5T,自定义项18
1001A11LCP000002TX5U,自定义项19
1001A11LCP000002TX5V,自定义项20
1001A11LCP000002TX5W,自定义项21
1001A11LCP000002TX5X,自定义项22
1001A11LCP000002TX5Y,自定义项23
1001A11LCP000002TX5Z,自定义项24
1001A11LCP000002TX60,自定义项25
1001A11LCP000002TX61,自定义项26
1001A11LCP000002TX62,自定义项27
1001A11LCP000002TX63,自定义项28
1001A11LCP000002TX64,自定义项29
1001A11LCP000002TX65,自定义项30
1001A11LCP000002TX66,制单时间
1001A11LCP000002TX67,最后修改时间
1001A11LCP000002TX68,来源行号
1001A11LCP000002TX69,组织多版本
1001A11LCP000002TX6A,创建人
1001A11LCP000002TX6B,创建时间
1001A11LCP000002TX6C,最后修改人
1001A11LCP000002TX6D,最后修改时间1
