PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002TX13,pk_org
1001A11LCP000002TX14,转移单号
1001A11LCP000002TX15,pk_group
1001A11LCP000002TX16,组织多版本
1001A11LCP000002TX17,制单时间
1001A11LCP000002TX18,最后修改时间
1001A11LCP000002TX19,创建人
1001A11LCP000002TX1A,创建时间
1001A11LCP000002TX1B,最后修改人
1001A11LCP000002TX1C,最后修改时间1
1001A11LCP000002TX1D,行号
1001A11LCP000002TX1E,来源行号
1001A11LCP000002TX1F,工艺进程单条码
1001A11LCP000002TX1G,生产订单号
1001A11LCP000002TX1H,物料
1001A11LCP000002TX1I,料号
1001A11LCP000002TX1J,品名
1001A11LCP000002TX1K,图号
1001A11LCP000002TX1L,单位
1001A11LCP000002TX1M,批次号
1001A11LCP000002TX1N,转出数量
1001A11LCP000002TX1O,实收数量
1001A11LCP000002TX1P,存放位置
1001A11LCP000002TX1Q,代用材料牌号
1001A11LCP000002TX1R,型号
1001A11LCP000002TX1S,转出单位
1001A11LCP000002TX1T,转出人
1001A11LCP000002TX1U,转入单位
1001A11LCP000002TX1V,接收人
1001A11LCP000002TX1W,工艺进程单号
1001A11LCP000002TX1X,确认时间
1001A11LCP000002TX1Y,转移工序
1001A11LCP000002TX1Z,下道工序
1001A11LCP000002TX20,自定义项1
1001A11LCP000002TX21,自定义项2
1001A11LCP000002TX22,自定义项3
1001A11LCP000002TX23,自定义项4
1001A11LCP000002TX24,自定义项5
1001A11LCP000002TX25,自定义项6
1001A11LCP000002TX26,自定义项7
1001A11LCP000002TX27,自定义项8
1001A11LCP000002TX28,自定义项9
1001A11LCP000002TX29,自定义项10
1001A11LCP000002TX2A,自定义项11
1001A11LCP000002TX2B,自定义项12
1001A11LCP000002TX2C,自定义项13
1001A11LCP000002TX2D,自定义项14
1001A11LCP000002TX2E,自定义项15
1001A11LCP000002TX2F,自定义项16
1001A11LCP000002TX2G,自定义项17
1001A11LCP000002TX2H,自定义项18
1001A11LCP000002TX2I,自定义项19
1001A11LCP000002TX2J,自定义项20
1001A11LCP000002TX2K,自定义项21
1001A11LCP000002TX2L,自定义项22
1001A11LCP000002TX2M,自定义项23
1001A11LCP000002TX2N,自定义项24
1001A11LCP000002TX2O,自定义项25
1001A11LCP000002TX2P,自定义项26
1001A11LCP000002TX2Q,自定义项27
1001A11LCP000002TX2R,自定义项28
1001A11LCP000002TX2S,自定义项29
1001A11LCP000002TX2T,自定义项30
