PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002C5AO,pk_group
1001A11LCP000002C5AP,pk_org
1001A11LCP000002C5AQ,主键
1001A11LCP000002C5AR,code
1001A11LCP000002C5AS,库内调拨单
1001A11LCP000002C5AT,调拨部门
1001A11LCP000002C5AU,调拨人
1001A11LCP000002C5AV,调拨时间
1001A11LCP000002C5AW,调拨仓库
1001A11LCP000002C5AX,备注
1001A11LCP000002C5AY,自定义项1
1001A11LCP000002C5AZ,自定义项2
1001A11LCP000002C5B0,自定义项3
1001A11LCP000002C5B1,自定义项4
1001A11LCP000002C5B2,自定义项5
1001A11LCP000002C5B3,自定义项6
1001A11LCP000002C5B4,自定义项7
1001A11LCP000002C5B5,自定义项8
1001A11LCP000002C5B6,自定义项9
1001A11LCP000002C5B7,自定义项10
1001A11LCP000002C5B8,自定义项11
1001A11LCP000002C5B9,自定义项12
1001A11LCP000002C5BA,自定义项13
1001A11LCP000002C5BB,自定义项14
1001A11LCP000002C5BC,自定义项15
1001A11LCP000002C5BD,自定义项16
1001A11LCP000002C5BE,自定义项17
1001A11LCP000002C5BF,自定义项18
1001A11LCP000002C5BG,自定义项19
1001A11LCP000002C5BH,自定义项20
1001A11LCP000002C5BI,自定义项21
1001A11LCP000002C5BJ,自定义项22
1001A11LCP000002C5BK,自定义项23
1001A11LCP000002ELA9,自定义项24
1001A11LCP000002ELAA,自定义项25
1001A11LCP000002ELAB,自定义项26
1001A11LCP000002ELAC,自定义项27
1001A11LCP000002ELAD,自定义项28
1001A11LCP000002ELAE,自定义项29
1001A11LCP000002ELAF,自定义项30
1001A11LCP000002ELAG,制单时间
1001A11LCP000002ELAH,最后修改时间
1001A11LCP000002ELAI,组织多版本
1001A11LCP000002ELAJ,创建人
1001A11LCP000002ELAK,创建时间
1001A11LCP000002ELAL,最后修改人
1001A11LCP000002ELAM,最后修改时间1
1001A11LCP000002ELAN,pk_group
1001A11LCP000002ELAO,pk_org
1001A11LCP000002ELAP,主键
1001A11LCP000002ELAQ,code
1001A11LCP000002ELAR,库内调拨单
1001A11LCP000002ELAS,调拨部门
1001A11LCP000002ELAT,调拨人
1001A11LCP000002ELAU,调拨时间
1001A11LCP000002ELAV,调拨仓库
1001A11LCP000002ELAW,备注
1001A11LCP000002ELAX,自定义项1
1001A11LCP000002ELAY,自定义项2
1001A11LCP000002ELAZ,自定义项3
1001A11LCP000002ELB0,自定义项4
1001A11LCP000002ELB1,自定义项5
1001A11LCP000002ELB2,自定义项6
1001A11LCP000002ELB3,自定义项7
1001A11LCP000002ELB4,自定义项8
1001A11LCP000002ELB5,自定义项9
1001A11LCP000002ELB6,自定义项10
1001A11LCP000002ELB7,自定义项11
1001A11LCP000002ELB8,自定义项12
1001A11LCP000002ELB9,自定义项13
1001A11LCP000002ELBA,自定义项14
1001A11LCP000002ELBB,自定义项15
1001A11LCP000002ELBC,自定义项16
1001A11LCP000002ELBD,自定义项17
1001A11LCP000002ELBE,自定义项18
1001A11LCP000002ELBF,自定义项19
1001A11LCP000002ELBG,自定义项20
1001A11LCP000002ELBH,自定义项21
1001A11LCP000002ELBI,自定义项22
1001A11LCP000002ELBJ,自定义项23
1001A11LCP000002ELBK,自定义项24
1001A11LCP000002ELBL,自定义项25
1001A11LCP000002ELBM,自定义项26
1001A11LCP000002ELBN,自定义项27
1001A11LCP000002ELBO,自定义项28
1001A11LCP000002ELBP,自定义项29
1001A11LCP000002ELBQ,自定义项30
1001A11LCP000002ELBR,制单时间
1001A11LCP000002ELBS,最后修改时间
1001A11LCP000002ELBT,组织多版本
1001A11LCP000002ELBU,创建人
1001A11LCP000002ELBV,创建时间
1001A11LCP000002ELBW,最后修改人
1001A11LCP000002ELBX,最后修改时间1
1001A11LCP000002ELBY,行号
1001A11LCP000002ELBZ,主键
1001A11LCP000002ELC0,料号
1001A11LCP000002ELC1,品名
1001A11LCP000002ELC2,规格
1001A11LCP000002ELC3,调整仓库
1001A11LCP000002ELC4,调整前货位
1001A11LCP000002ELC5,调整后货位
1001A11LCP000002ELC6,调整数量
1001A11LCP000002ELC7,备注
1001A11LCP000002ELC8,自定义项1
1001A11LCP000002ELC9,自定义项2
1001A11LCP000002ELCA,自定义项3
1001A11LCP000002ELCB,自定义项4
1001A11LCP000002ELCC,自定义项5
1001A11LCP000002ELCD,自定义项6
1001A11LCP000002ELCE,自定义项7
1001A11LCP000002ELCF,自定义项8
1001A11LCP000002ELCG,自定义项9
1001A11LCP000002ELCH,自定义项10
1001A11LCP000002ELCI,自定义项11
1001A11LCP000002ELCJ,自定义项12
1001A11LCP000002ELCK,自定义项13
1001A11LCP000002ELCL,自定义项14
1001A11LCP000002ELCM,自定义项15
1001A11LCP000002ELCN,自定义项16
1001A11LCP000002ELCO,自定义项17
1001A11LCP000002ELCP,自定义项18
1001A11LCP000002ELCQ,自定义项19
1001A11LCP000002ELCR,自定义项20
1001A11LCP000002ELCS,自定义项21
1001A11LCP000002ELCT,自定义项22
1001A11LCP000002ELCU,自定义项23
1001A11LCP000002ELCV,自定义项24
1001A11LCP000002ELCW,自定义项25
1001A11LCP000002ELCX,自定义项26
1001A11LCP000002ELCY,自定义项27
1001A11LCP000002ELCZ,自定义项28
1001A11LCP000002ELD0,自定义项29
1001A11LCP000002ELD1,自定义项30
1001A11LCP000002ELD2,来源行号
1001A11LCP000002ELD3,行号
1001A11LCP000002ELD4,主键
1001A11LCP000002ELD5,料号
1001A11LCP000002ELD6,品名
1001A11LCP000002ELD7,规格
1001A11LCP000002ELD8,调整仓库
1001A11LCP000002ELD9,调整前货位
1001A11LCP000002ELDA,调整后货位
1001A11LCP000002ELDB,调整数量
1001A11LCP000002ELDC,备注
1001A11LCP000002ELDD,自定义项1
