PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002UVRS,行号
1001A11LCP000002UVRT,pk_group
1001A11LCP000002UVRU,组织
1001A11LCP000002UVRV,订单号
1001A11LCP000002UVRW,料号
1001A11LCP000002UVRX,品名
1001A11LCP000002UVRY,名称图号
1001A11LCP000002UVRZ,源订单号
1001A11LCP000002UVS0,数量
1001A11LCP000002UVS1,来源说明
1001A11LCP000002UVS2,改制源订单
1001A11LCP000002UVS3,是否关键件
1001A11LCP000002UVS4,实际材料
1001A11LCP000002UVS5,化验单号
1001A11LCP000002UVS6,加工数量
1001A11LCP000002UVS7,计划完成时间
1001A11LCP000002UVS8,代料单号
1001A11LCP000002UVS9,设计材料
1001A11LCP000002UVSA,合格证号
1001A11LCP000002UVSB,当前炉批号/件号
1001A11LCP000002UVSC,生产订单号
1001A11LCP000002UVSD,是否已拆分
1001A11LCP000002UVSE,当前工序说明
1001A11LCP000002UVSF,检验标识
1001A11LCP000002UVSG,部门
1001A11LCP000002UVSH,工作中心
1001A11LCP000002UVSI,准备工时
1001A11LCP000002UVSJ,加工工时
1001A11LCP000002UVSK,供应商
1001A11LCP000002UVSL,自定义项1
1001A11LCP000002UVSM,自定义项2
1001A11LCP000002UVSN,自定义项3
1001A11LCP000002UVSO,自定义项4
1001A11LCP000002UVSP,自定义项5
1001A11LCP000002UVSQ,自定义项6
1001A11LCP000002UVSR,自定义项7
1001A11LCP000002UVSS,自定义项8
1001A11LCP000002UVST,自定义项9
1001A11LCP000002UVSU,自定义项10
1001A11LCP000002UVSV,自定义项11
1001A11LCP000002UVSW,自定义项12
1001A11LCP000002UVSX,自定义项13
1001A11LCP000002UVSY,自定义项14
1001A11LCP000002UVSZ,自定义项15
1001A11LCP000002UVT0,自定义项16
1001A11LCP000002UVT1,自定义项17
1001A11LCP000002UVT2,主键
1001A11LCP000002UVT3,自定义项18
1001A11LCP000002UVT4,自定义项19
1001A11LCP000002UVT5,自定义项20
1001A11LCP000002UVT6,计划令号
1001A11LCP000002UVT7,任务代码
1001A11LCP000002UVT8,技术文件编号
1001A11LCP000002UVT9,项目批号
1001A11LCP000002UVTA,产品型号
1001A11LCP000002UVTB,生产批次
1001A11LCP000002UVTC,物料
1001A11LCP000002UVTD,制单时间
1001A11LCP000002UVTE,最后修改时间
1001A11LCP000002UVTF,来源行号
1001A11LCP000002UVTG,组织多版本
1001A11LCP000002UVTH,创建人
1001A11LCP000002UVTI,创建时间
1001A11LCP000002UVTJ,最后修改人
1001A11LCP000002UVTK,最后修改时间1
1001A11LCP000002UVTL,行号
1001A11LCP000002UVTM,pk_group
1001A11LCP000002UVTN,组织
1001A11LCP000002UVTO,订单号
1001A11LCP000002UVTP,料号
1001A11LCP000002UVTQ,品名
1001A11LCP000002UVTR,名称图号
1001A11LCP000002UVTS,源订单号
1001A11LCP000002UVTT,数量
1001A11LCP000002UVTU,来源说明
1001A11LCP000002UVTV,改制源订单
1001A11LCP000002UVTW,是否关键件
1001A11LCP000002UVTX,实际材料
1001A11LCP000002UVTY,化验单号
1001A11LCP000002UVTZ,加工数量
1001A11LCP000002UVU0,计划完成时间
1001A11LCP000002UVU1,代料单号
1001A11LCP000002UVU2,设计材料
1001A11LCP000002UVU3,合格证号
1001A11LCP000002UVU4,当前炉批号/件号
1001A11LCP000002UVU5,生产订单号
1001A11LCP000002UVU6,是否已拆分
1001A11LCP000002UVU7,当前工序说明
1001A11LCP000002UVU8,检验标识
1001A11LCP000002UVU9,部门
1001A11LCP000002UVUA,工作中心
1001A11LCP000002UVUB,准备工时
1001A11LCP000002UVUC,加工工时
1001A11LCP000002UVUD,供应商
1001A11LCP000002UVUE,自定义项1
1001A11LCP000002UVUF,自定义项2
1001A11LCP000002UVUG,自定义项3
1001A11LCP000002UVUH,自定义项4
1001A11LCP000002UVUI,自定义项5
1001A11LCP000002UVUJ,自定义项6
1001A11LCP000002UVUK,自定义项7
1001A11LCP000002UVUL,自定义项8
1001A11LCP000002UVUM,自定义项9
1001A11LCP000002UVUN,自定义项10
1001A11LCP000002UVUO,自定义项11
1001A11LCP000002UVUP,自定义项12
1001A11LCP000002UVUQ,自定义项13
1001A11LCP000002UVUR,自定义项14
1001A11LCP000002UVUS,自定义项15
1001A11LCP000002UVUT,自定义项16
1001A11LCP000002UVUU,自定义项17
1001A11LCP000002UVUV,主键
1001A11LCP000002UVUW,自定义项18
1001A11LCP000002UVUX,自定义项19
1001A11LCP000002UVUY,自定义项20
1001A11LCP000002UVUZ,计划令号
1001A11LCP000002UVV0,任务代码
1001A11LCP000002UVV1,技术文件编号
1001A11LCP000002UVV2,项目批号
1001A11LCP000002UVV3,产品型号
1001A11LCP000002UVV4,生产批次
1001A11LCP000002UVV5,物料
1001A11LCP000002UVV6,制单时间
1001A11LCP000002UVV7,最后修改时间
1001A11LCP000002UVV8,来源行号
1001A11LCP000002UVV9,组织多版本
1001A11LCP000002UVVA,创建人
1001A11LCP000002UVVB,创建时间
1001A11LCP000002UVVC,最后修改人
1001A11LCP000002UVVD,最后修改时间1
