PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002Q2FQ,pk_group
1001A11LCP000002Q2FR,组织
1001A11LCP000002Q2FS,code
1001A11LCP000002Q2FT,主键
1001A11LCP000002Q2FU,自定义项13
1001A11LCP000002Q2FV,扫描其他出库申请单
1001A11LCP000002Q2FW,其他出库单
1001A11LCP000002Q2FX,其他出库申请单号
1001A11LCP000002Q2FY,出库人
1001A11LCP000002Q2FZ,出库时间
1001A11LCP000002Q2G0,仓库
1001A11LCP000002Q2G1,备注
1001A11LCP000002Q2G2,自定义项1
1001A11LCP000002Q2G3,自定义项2
1001A11LCP000002Q2G4,自定义项3
1001A11LCP000002Q2G5,自定义项4
1001A11LCP000002Q2G6,自定义项5
1001A11LCP000002Q2G7,自定义项6
1001A11LCP000002Q2G8,自定义项7
1001A11LCP000002Q2G9,自定义项8
1001A11LCP000002Q2GA,自定义项9
1001A11LCP000002Q2GB,自定义项10
1001A11LCP000002Q2GC,自定义项11
1001A11LCP000002Q2GD,自定义项12
1001A11LCP000002Q2GE,自定义项14
1001A11LCP000002Q2GF,自定义项15
1001A11LCP000002Q2GG,自定义项16
1001A11LCP000002Q2GH,自定义项17
1001A11LCP000002Q2GI,自定义项18
1001A11LCP000002Q2GJ,自定义项19
1001A11LCP000002Q2GK,自定义项20
1001A11LCP000002Q2GL,自定义项21
1001A11LCP000002Q2GM,自定义项22
1001A11LCP000002Q2GN,自定义项23
1001A11LCP000002Q2GO,自定义项24
1001A11LCP000002Q2GP,自定义项25
1001A11LCP000002Q2GQ,自定义项26
1001A11LCP000002Q2GR,自定义项27
1001A11LCP000002Q2GS,自定义项28
1001A11LCP000002Q2GT,自定义项29
1001A11LCP000002Q2GU,自定义项30
1001A11LCP000002Q2GV,制单时间
1001A11LCP000002Q2GW,最后修改时间
1001A11LCP000002Q2GX,组织多版本
1001A11LCP000002Q2GY,创建人
1001A11LCP000002Q2GZ,创建时间
1001A11LCP000002Q2H0,最后修改人
1001A11LCP000002Q2H1,最后修改时间1
1001A11LCP000002Q2H2,pk_group
1001A11LCP000002Q2H3,组织
1001A11LCP000002Q2H4,code
1001A11LCP000002Q2H5,主键
1001A11LCP000002Q2H6,自定义项13
1001A11LCP000002Q2H7,扫描其他出库申请单
