PUB_QUERY_PROPERTY
pk_query_property,label
1001ZZ1LCP000001DJ4F,组织
1001ZZ1LCP000001DJ4G,出库编码
1001ZZ1LCP000001DJ4H,组织_集团
1001ZZ1LCP000001DJ4I,组织多版本
1001ZZ1LCP000001DJ4J,制单时间
1001ZZ1LCP000001DJ4K,最后修改时间
1001ZZ1LCP000001DJ4L,创建人
1001ZZ1LCP000001DJ4M,创建时间
1001ZZ1LCP000001DJ4N,最后修改人
1001ZZ1LCP000001DJ4O,最后修改时间1
1001ZZ1LCP000001DJ4P,发货单
1001ZZ1LCP000001DJ4Q,出库单号
1001ZZ1LCP000001DJ4R,销售订单
1001ZZ1LCP000001DJ4S,出库人
1001ZZ1LCP000001DJ4T,出库时间
1001ZZ1LCP000001DJ4U,客户名称
1001ZZ1LCP000001DJ4V,备注
1001ZZ1LCP000001DJ4W,自定义项1
1001ZZ1LCP000001DJ4X,自定义项2
1001ZZ1LCP000001DJ4Y,自定义项3
1001ZZ1LCP000001DJ4Z,自定义项4
1001ZZ1LCP000001DJ50,自定义项5
1001ZZ1LCP000001DJ51,自定义项6
1001ZZ1LCP000001DJ52,自定义项7
1001ZZ1LCP000001DJ53,自定义项8
1001ZZ1LCP000001DJ54,自定义项9
1001ZZ1LCP000001DJ55,自定义项10
1001ZZ1LCP000001DJ56,自定义项11
1001ZZ1LCP000001DJ57,自定义项12
1001ZZ1LCP000001DJ58,自定义项13
1001ZZ1LCP000001DJ59,自定义项14
1001ZZ1LCP000001DJ5A,自定义项15
1001ZZ1LCP000001DJ5B,自定义项16
1001ZZ1LCP000001DJ5C,自定义项17
1001ZZ1LCP000001DJ5D,自定义项18
1001ZZ1LCP000001DJ5E,自定义项19
1001ZZ1LCP000001DJ5F,自定义项20
1001ZZ1LCP000001DJ5G,自定义项21
1001ZZ1LCP000001DJ5H,自定义项22
1001ZZ1LCP000001DJ5I,自定义项23
1001ZZ1LCP000001DJ5J,自定义项24
1001ZZ1LCP000001DJ5K,自定义项25
1001ZZ1LCP000001DJ5L,自定义项26
1001ZZ1LCP000001DJ5M,自定义项27
1001ZZ1LCP000001DJ5N,自定义项28
1001ZZ1LCP000001DJ5O,自定义项29
1001ZZ1LCP000001DJ5P,自定义项30
