PUB_QUERY_PROPERTY
pk_query_property,label
1001ZZ1LCP000001Z1W3,组织
1001ZZ1LCP000001Z1W4,单据号
1001ZZ1LCP000001Z1W5,pk_group
1001ZZ1LCP000001Z1W6,组织多版本
1001ZZ1LCP000001Z1W7,制单时间
1001ZZ1LCP000001Z1W8,最后修改时间
1001ZZ1LCP000001Z1W9,创建人
1001ZZ1LCP000001Z1WA,创建时间
1001ZZ1LCP000001Z1WB,最后修改人
1001ZZ1LCP000001Z1WC,最后修改时间1
1001ZZ1LCP000001Z1WD,出库仓库
1001ZZ1LCP000001Z1WE,入库仓库
1001ZZ1LCP000001Z1WF,转库类型
1001ZZ1LCP000001Z1WG,出库业务员
1001ZZ1LCP000001Z1WH,出库部门
1001ZZ1LCP000001Z1WI,入库业务员
1001ZZ1LCP000001Z1WJ,入库部门
1001ZZ1LCP000001Z1WK,应发货日期
1001ZZ1LCP000001Z1WL,应到货日期
1001ZZ1LCP000001Z1WM,单据状态
1001ZZ1LCP000001Z1WN,自定义项1
1001ZZ1LCP000001Z1WO,自定义项2
1001ZZ1LCP000001Z1WP,自定义项3
1001ZZ1LCP000001Z1WQ,自定义项4
1001ZZ1LCP000001Z1WR,自定义项5
1001ZZ1LCP000001Z1WS,自定义项6
1001ZZ1LCP000001Z1WT,自定义项7
1001ZZ1LCP000001Z1WU,自定义项8
1001ZZ1LCP000001Z1WV,自定义项9
1001ZZ1LCP000001Z1WW,自定义项10
1001ZZ1LCP000001Z1WX,自定义项11
1001ZZ1LCP000001Z1WY,自定义项12
1001ZZ1LCP000001Z1WZ,自定义项13
1001ZZ1LCP000001Z1X0,自定义项14
1001ZZ1LCP000001Z1X1,自定义项15
1001ZZ1LCP000001Z1X2,自定义项16
1001ZZ1LCP000001Z1X3,自定义项17
1001ZZ1LCP000001Z1X4,自定义项18
1001ZZ1LCP000001Z1X5,自定义项19
1001ZZ1LCP000001Z1X6,自定义项20
1001ZZ1LCP000001Z1X7,自定义项21
1001ZZ1LCP000001Z1X8,自定义项22
1001ZZ1LCP000001Z1X9,自定义项23
1001ZZ1LCP000001Z1XA,自定义项24
1001ZZ1LCP000001Z1XB,自定义项25
1001ZZ1LCP000001Z1XC,自定义项26
1001ZZ1LCP000001Z1XD,自定义项27
1001ZZ1LCP000001Z1XE,自定义项28
1001ZZ1LCP000001Z1XF,自定义项29
1001ZZ1LCP000001Z1XG,自定义项30
